frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-7.89,-7.89,-7.89,-7.89,7.89,7.66,0.00,0.00,0.00
20.20,-7.89,-7.89,-7.89,-7.89,7.89,7.67,0.00,0.00,0.00
20.40,-7.88,-7.88,-7.88,-7.88,7.88,7.68,-0.00,-0.00,0.00
20.61,-7.88,-7.88,-7.88,-7.88,7.88,7.70,-0.00,-0.00,0.00
20.81,-7.87,-7.87,-7.87,-7.87,7.87,7.71,-0.00,-0.00,0.00
21.02,-7.87,-7.87,-7.87,-7.87,7.87,7.72,-0.00,-0.00,0.00
21.23,-7.87,-7.87,-7.87,-7.87,7.87,7.73,-0.00,-0.00,0.00
21.44,-7.86,-7.86,-7.86,-7.86,7.86,7.74,-0.00,-0.00,0.00
21.66,-7.86,-7.86,-7.86,-7.86,7.86,7.75,-0.00,-0.00,0.00
21.87,-7.85,-7.85,-7.85,-7.85,7.85,7.76,0.00,0.00,0.00
22.09,-7.85,-7.85,-7.85,-7.85,7.85,7.76,0.00,0.00,0.00
22.31,-7.84,-7.84,-7.84,-7.84,7.84,7.77,0.00,0.00,0.00
22.54,-7.84,-7.84,-7.84,-7.84,7.84,7.78,0.00,0.00,0.00
22.76,-7.83,-7.83,-7.83,-7.83,7.83,7.78,0.00,0.00,0.00
22.99,-7.83,-7.83,-7.83,-7.83,7.83,7.79,-0.00,-0.00,0.00
23.22,-7.82,-7.82,-7.82,-7.82,7.82,7.80,-0.00,-0.00,0.00
23.45,-7.82,-7.82,-7.82,-7.82,7.82,7.80,-0.00,-0.00,0.00
23.69,-7.81,-7.81,-7.81,-7.81,7.81,7.81,-0.00,-0.00,0.00
23.92,-7.81,-7.81,-7.81,-7.81,7.81,7.81,0.00,-0.00,0.00
24.16,-7.80,-7.80,-7.80,-7.80,7.80,7.81,0.00,0.00,0.00
24.40,-7.80,-7.80,-7.80,-7.80,7.80,7.81,0.00,0.00,0.00
24.65,-7.79,-7.79,-7.79,-7.79,7.79,7.82,0.00,0.00,0.00
24.89,-7.79,-7.79,-7.79,-7.79,7.79,7.82,0.00,0.00,0.00
25.14,-7.78,-7.78,-7.78,-7.78,7.78,7.82,0.00,0.00,0.00
25.39,-7.77,-7.77,-7.77,-7.77,7.77,7.82,-0.00,-0.00,0.00
25.65,-7.77,-7.77,-7.77,-7.77,7.77,7.82,-0.00,-0.00,0.00
25.91,-7.76,-7.76,-7.76,-7.76,7.76,7.82,-0.00,-0.00,0.00
26.16,-7.76,-7.76,-7.76,-7.76,7.76,7.82,-0.00,-0.00,0.00
26.43,-7.75,-7.75,-7.75,-7.75,7.75,7.82,0.00,0.00,0.00
26.69,-7.74,-7.74,-7.74,-7.74,7.74,7.82,0.00,0.00,0.00
26.96,-7.74,-7.74,-7.74,-7.74,7.74,7.81,0.00,0.00,0.00
27.23,-7.73,-7.73,-7.73,-7.73,7.73,7.81,0.00,0.00,0.00
