frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-4.18,-6.12,-4.18,-6.12,6.12,6.10,1.94,1.94,1.94
20.20,-4.14,-6.11,-4.14,-6.11,6.11,6.08,1.97,1.97,1.97
20.40,-4.10,-6.10,-4.10,-6.10,6.10,6.06,2.00,2.00,2.00
20.61,-4.06,-6.08,-4.06,-6.08,6.09,6.03,2.03,2.03,2.02
20.81,-4.02,-6.07,-4.02,-6.07,6.07,6.01,2.05,2.05,2.05
21.02,-3.98,-6.06,-3.98,-6.05,6.05,5.98,2.07,2.07,2.08
21.23,-3.94,-6.03,-3.94,-6.03,6.03,5.95,2.08,2.08,2.09
21.44,-3.90,-6.00,-3.90,-6.00,6.00,5.93,2.10,2.10,2.10
21.66,-3.86,-5.97,-3.86,-5.97,5.97,5.90,2.11,2.11,2.11
21.87,-3.82,-5.93,-3.82,-5.94,5.94,5.87,2.11,2.11,2.11
22.09,-3.78,-5.90,-3.78,-5.90,5.90,5.84,2.12,2.12,2.12
22.31,-3.74,-5.86,-3.74,-5.86,5.86,5.81,2.12,2.12,2.12
22.54,-3.71,-5.82,-3.71,-5.82,5.82,5.78,2.12,2.12,2.12
22.76,-3.67,-5.78,-3.67,-5.78,5.78,5.74,2.12,2.12,2.12
22.99,-3.63,-5.73,-3.63,-5.74,5.74,5.71,2.11,2.11,2.11
23.22,-3.59,-5.70,-3.59,-5.70,5.70,5.68,2.11,2.11,2.11
23.45,-3.55,-5.66,-3.55,-5.65,5.66,5.64,2.11,2.11,2.11
23.69,-3.50,-5.61,-3.50,-5.61,5.61,5.61,2.11,2.11,2.11
23.92,-3.46,-5.57,-3.46,-5.57,5.57,5.57,2.11,2.11,2.11
24.16,-3.42,-5.53,-3.42,-5.53,5.52,5.53,2.11,2.11,2.11
24.40,-3.38,-5.48,-3.38,-5.48,5.48,5.49,2.11,2.11,2.11
24.65,-3.33,-5.43,-3.33,-5.44,5.44,5.45,2.10,2.10,2.10
24.89,-3.29,-5.39,-3.29,-5.39,5.39,5.42,2.10,2.10,2.10
25.14,-3.25,-5.35,-3.25,-5.35,5.35,5.37,2.10,2.10,2.10
25.39,-3.21,-5.30,-3.21,-5.30,5.30,5.33,2.10,2.10,2.10
25.65,-3.16,-5.26,-3.16,-5.26,5.26,5.29,2.09,2.09,2.10
25.91,-3.12,-5.21,-3.12,-5.21,5.21,5.25,2.09,2.09,2.09
26.16,-3.07,-5.16,-3.07,-5.16,5.16,5.20,2.09,2.09,2.09
26.43,-3.03,-5.12,-3.03,-5.12,5.12,5.16,2.09,2.09,2.09
26.69,-2.98,-5.07,-2.98,-5.07,5.07,5.12,2.09,2.09,2.09
26.96,-2.94,-5.02,-2.94,-5.02,5.02,5.07,2.08,2.08,2.09
27.23,-2.89,-4.97,-2.89,-4.97,4.97,5.02,2.08,2.08,2.08
27.50,-2.84,-4.92,-2.84,-4.92,4.92,4.97,2.08,2.08,2.08
27.77,-2.80,-4.87,-2.80,-4.87,4.87,4.93,2.07,2.07,2.07
28.05,-2.75,-4.82,-2.75,-4.82,4.82,4.88,2.07,2.07,2.07
28.33,-2.70,-4.76,-2.70,-4.77,4.77,4.83,2.06,2.06,2.06
28.62,-2.66,-4.72,-2.66,-4.72,4.72,4.78,2.06,2.06,2.06
28.90,-2.61,-4.67,-2.61,-4.66,4.66,4.73,2.06,2.06,2.06
29.19,-2.56,-4.61,-2.56,-4.61,4.61,4.67,2.05,2.05,2.05
29.48,-2.51,-4.56,-2.51,-4.56,4.56,4.62,2.05,2.05,2.05
29.78,-2.46,-4.50,-2.46,-4.50,4.50,4.57,2.04,2.04,2.04
30.08,-2.41,-4.45,-2.41,-4.45,4.45,4.51,2.04,2.04,2.04
30.38,-2.37,-4.39,-2.37,-4.40,4.40,4.46,2.03,2.03,2.03
30.68,-2.32,-4.34,-2.32,-4.34,4.34,4.40,2.02,2.02,2.03
30.99,-2.26,-4.28,-2.26,-4.28,4.28,4.35,2.02,2.02,2.02
31.30,-2.21,-4.22,-2.21,-4.23,4.23,4.29,2.01,2.01,2.01
31.61,-2.16,-4.17,-2.16,-4.17,4.17,4.23,2.01,2.01,2.01
31.93,-2.11,-4.11,-2.11,-4.11,4.11,4.17,2.00,2.00,2.00
32.24,-2.06,-4.05,-2.06,-4.05,4.05,4.11,1.99,1.99,1.99
32.57,-2.01,-4.00,-2.01,-3.99,3.99,4.05,1.99,1.99,1.99
32.89,-1.96,-3.94,-1.96,-3.94,3.94,3.99,1.98,1.98,1.98
33.22,-1.90,-3.87,-1.90,-3.88,3.88,3.93,1.97,1.97,1.97
33.55,-1.85,-3.82,-1.85,-3.82,3.82,3.87,1.97,1.96,1.97
33.89,-1.80,-3.76,-1.80,-3.76,3.75,3.81,1.96,1.96,1.96
34.23,-1.74,-3.69,-1.74,-3.69,3.69,3.74,1.95,1.95,1.95
34.57,-1.69,-3.63,-1.69,-3.63,3.63,3.68,1.94,1.94,1.94
34.92,-1.64,-3.57,-1.64,-3.57,3.57,3.61,1.93,1.93,1.93
35.27,-1.58,-3.50,-1.58,-3.50,3.50,3.55,1.92,1.92,1.92
35.62,-1.53,-3.44,-1.53,-3.44,3.44,3.48,1.91,1.91,1.91
35.97,-1.47,-3.37,-1.47,-3.37,3.37,3.41,1.90,1.90,1.90
36.33,-1.42,-3.30,-1.42,-3.30,3.31,3.35,1.89,1.89,1.89
36.70,-1.36,-3.24,-1.36,-3.24,3.24,3.28,1.88,1.88,1.88
37.06,-1.30,-3.17,-1.30,-3.17,3.17,3.21,1.87,1.87,1.87
37.43,-1.25,-3.11,-1.25,-3.11,3.11,3.14,1.86,1.86,1.86
37.81,-1.19,-3.04,-1.19,-3.04,3.04,3.07,1.85,1.85,1.85
38.19,-1.13,-2.97,-1.13,-2.97,2.97,3.00,1.84,1.84,1.84
38.57,-1.08,-2.90,-1.08,-2.90,2.90,2.93,1.83,1.83,1.83
38.95,-1.02,-2.84,-1.02,-2.83,2.83,2.86,1.81,1.81,1.82
39.34,-0.96,-2.76,-0.96,-2.76,2.76,2.78,1.80,1.80,1.80
39.74,-0.90,-2.69,-0.90,-2.69,2.69,2.71,1.79,1.79,1.79
