frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,0.73,-1.20,0.73,-1.20,1.20,1.24,1.94,1.94,1.94
20.20,0.72,-1.24,0.72,-1.24,1.25,1.26,1.97,1.97,1.97
20.40,0.72,-1.28,0.72,-1.28,1.28,1.28,2.00,2.00,2.00
20.61,0.71,-1.31,0.71,-1.32,1.32,1.29,2.03,2.03,2.02
20.81,0.70,-1.35,0.70,-1.35,1.35,1.31,2.05,2.05,2.05
21.02,0.69,-1.39,0.69,-1.38,1.38,1.32,2.07,2.07,2.08
21.23,0.68,-1.41,0.68,-1.41,1.41,1.34,2.08,2.08,2.09
21.44,0.67,-1.43,0.67,-1.43,1.43,1.35,2.10,2.10,2.10
21.66,0.66,-1.45,0.66,-1.45,1.45,1.37,2.11,2.11,2.11
21.87,0.65,-1.46,0.65,-1.46,1.46,1.38,2.11,2.11,2.11
22.09,0.64,-1.48,0.64,-1.47,1.47,1.40,2.12,2.12,2.12
22.31,0.63,-1.49,0.63,-1.49,1.48,1.41,2.12,2.12,2.12
22.54,0.62,-1.49,0.62,-1.50,1.49,1.43,2.12,2.12,2.12
22.76,0.61,-1.50,0.61,-1.50,1.50,1.44,2.12,2.12,2.12
22.99,0.61,-1.50,0.61,-1.51,1.51,1.45,2.11,2.11,2.11
23.22,0.60,-1.51,0.60,-1.51,1.52,1.47,2.11,2.11,2.11
23.45,0.59,-1.52,0.59,-1.52,1.52,1.48,2.11,2.11,2.11
23.69,0.58,-1.53,0.58,-1.53,1.53,1.50,2.11,2.11,2.11
23.92,0.57,-1.54,0.57,-1.54,1.54,1.51,2.11,2.11,2.11
24.16,0.56,-1.55,0.56,-1.55,1.55,1.52,2.11,2.11,2.11
24.40,0.55,-1.56,0.55,-1.56,1.56,1.53,2.10,2.10,2.11
24.65,0.54,-1.56,0.54,-1.57,1.57,1.55,2.10,2.10,2.10
24.89,0.53,-1.57,0.53,-1.57,1.57,1.56,2.10,2.10,2.10
25.14,0.52,-1.58,0.52,-1.58,1.58,1.57,2.10,2.10,2.10
25.39,0.51,-1.59,0.51,-1.59,1.59,1.58,2.10,2.10,2.10
25.65,0.50,-1.60,0.50,-1.60,1.60,1.60,2.10,2.10,2.10
25.91,0.48,-1.60,0.48,-1.61,1.61,1.61,2.09,2.09,2.09
26.16,0.47,-1.62,0.47,-1.62,1.62,1.62,2.09,2.09,2.09
26.43,0.46,-1.63,0.46,-1.63,1.63,1.63,2.09,2.09,2.09
26.69,0.45,-1.64,0.45,-1.64,1.64,1.64,2.09,2.09,2.09
26.96,0.44,-1.65,0.44,-1.65,1.64,1.65,2.08,2.08,2.09
27.23,0.43,-1.65,0.43,-1.65,1.65,1.66,2.08,2.08,2.08
27.50,0.42,-1.66,0.42,-1.66,1.66,1.67,2.08,2.08,2.08
27.77,0.41,-1.66,0.41,-1.66,1.67,1.68,2.07,2.07,2.07
28.05,0.40,-1.67,0.39,-1.67,1.67,1.69,2.07,2.07,2.07
28.33,0.38,-1.68,0.38,-1.68,1.68,1.70,2.06,2.06,2.06
28.62,0.37,-1.69,0.37,-1.69,1.69,1.70,2.06,2.06,2.06
28.90,0.36,-1.70,0.36,-1.70,1.70,1.71,2.05,2.05,2.06
29.19,0.35,-1.70,0.35,-1.70,1.70,1.72,2.05,2.05,2.05
29.48,0.33,-1.71,0.33,-1.71,1.71,1.73,2.05,2.05,2.05
29.78,0.32,-1.72,0.32,-1.72,1.72,1.74,2.04,2.04,2.04
30.08,0.31,-1.73,0.31,-1.73,1.73,1.74,2.04,2.04,2.04
30.38,0.30,-1.73,0.30,-1.73,1.73,1.75,2.03,2.03,2.03
30.68,0.28,-1.74,0.28,-1.74,1.74,1.76,2.03,2.03,2.03
30.99,0.27,-1.75,0.27,-1.75,1.75,1.76,2.02,2.02,2.02
31.30,0.26,-1.75,0.26,-1.75,1.75,1.77,2.01,2.01,2.01
31.61,0.24,-1.76,0.24,-1.76,1.76,1.78,2.01,2.01,2.01
31.93,0.23,-1.77,0.23,-1.77,1.77,1.78,2.00,2.00,2.00
32.24,0.22,-1.77,0.22,-1.77,1.77,1.79,1.99,1.99,1.99
32.57,0.21,-1.78,0.21,-1.78,1.78,1.79,1.99,1.99,1.99
32.89,0.19,-1.79,0.19,-1.79,1.79,1.80,1.98,1.98,1.98
33.22,0.18,-1.79,0.18,-1.80,1.80,1.80,1.97,1.97,1.97
33.55,0.16,-1.81,0.16,-1.80,1.80,1.81,1.96,1.96,1.97
33.89,0.15,-1.81,0.15,-1.81,1.81,1.81,1.96,1.96,1.96
34.23,0.13,-1.81,0.13,-1.82,1.81,1.82,1.95,1.95,1.95
34.57,0.12,-1.82,0.12,-1.82,1.82,1.82,1.94,1.94,1.94
34.92,0.11,-1.82,0.11,-1.82,1.82,1.83,1.93,1.93,1.93
35.27,0.09,-1.83,0.09,-1.83,1.83,1.83,1.92,1.92,1.92
35.62,0.08,-1.83,0.08,-1.83,1.83,1.84,1.91,1.91,1.91
35.97,0.06,-1.84,0.06,-1.84,1.84,1.84,1.90,1.90,1.90
36.33,0.04,-1.84,0.04,-1.84,1.84,1.85,1.89,1.89,1.89
36.70,0.03,-1.85,0.03,-1.85,1.85,1.85,1.88,1.88,1.88
37.06,0.01,-1.85,0.01,-1.85,1.86,1.85,1.87,1.87,1.87
37.43,-0.00,-1.86,-0.00,-1.86,1.86,1.86,1.86,1.86,1.86
37.81,-0.02,-1.87,-0.02,-1.87,1.87,1.86,1.85,1.85,1.85
38.19,-0.03,-1.87,-0.03,-1.87,1.87,1.87,1.84,1.84,1.84
38.57,-0.05,-1.88,-0.05,-1.88,1.88,1.87,1.83,1.83,1.83
38.95,-0.07,-1.89,-0.07,-1.88,1.88,1.87,1.81,1.81,1.82
39.34,-0.08,-1.88,-0.08,-1.88,1.89,1.88,1.80,1.80,1.80
39.74,-0.10,-1.89,-0.10,-1.89,1.89,1.88,1.79,1.79,1.79
40.14,-0.12,-1.90,-0.12,-1.89,1.90,1.89,1.78,1.78,1.78
40.54,-0.13,-1.90,-0.13,-1.90,1.90,1.89,1.77,1.77,1.77
40.94,-0.15,-1.91,-0.15,-1.91,1.91,1.89,1.76,1.76,1.76
41.35,-0.17,-1.92,-0.17,-1.92,1.92,1.90,1.75,1.75,1.75
41.76,-0.19,-1.93,-0.19,-1.93,1.93,1.90,1.74,1.74,1.74
42.18,-0.20,-1.93,-0.20,-1.93,1.93,1.91,1.73,1.73,1.73
42.60,-0.22,-1.94,-0.22,-1.94,1.94,1.91,1.72,1.72,1.72
43.03,-0.24,-1.95,-0.24,-1.95,1.94,1.91,1.70,1.70,1.71
43.46,-0.26,-1.95,-0.26,-1.95,1.94,1.92,1.68,1.68,1.69
43.90,-0.28,-1.95,-0.28,-1.95,1.95,1.92,1.67,1.67,1.67
44.33,-0.30,-1.95,-0.30,-1.94,1.95,1.93,1.65,1.65,1.65
44.78,-0.32,-1.94,-0.32,-1.95,1.95,1.93,1.63,1.63,1.63
45.23,-0.34,-1.94,-0.34,-1.95,1.95,1.93,1.62,1.62,1.61
45.68,-0.36,-1.95,-0.36,-1.95,1.95,1.94,1.60,1.60,1.60
46.13,-0.38,-1.95,-0.37,-1.96,1.96,1.94,1.58,1.58,1.58
46.60,-0.39,-1.96,-0.39,-1.96,1.96,1.95,1.57,1.57,1.57
47.06,-0.41,-1.96,-0.41,-1.96,1.96,1.95,1.55,1.55,1.55
47.53,-0.44,-1.96,-0.44,-1.97,1.96,1.96,1.53,1.53,1.53
48.01,-0.46,-1.97,-0.46,-1.97,1.96,1.96,1.51,1.51,1.52
48.49,-0.48,-1.97,-0.48,-1.97,1.96,1.96,1.48,1.48,1.49
48.97,-0.50,-1.96,-0.50,-1.96,1.96,1.97,1.46,1.46,1.46
49.46,-0.52,-1.95,-0.52,-1.95,1.95,1.97,1.43,1.43,1.43
49.96,-0.54,-1.94,-0.54,-1.94,1.95,1.97,1.41,1.41,1.40
50.46,-0.56,-1.94,-0.56,-1.94,1.94,1.98,1.38,1.38,1.38
50.96,-0.58,-1.94,-0.58,-1.94,1.94,1.98,1.36,1.36,1.36
51.47,-0.61,-1.93,-0.61,-1.94,1.94,1.99,1.33,1.33,1.33
51.99,-0.63,-1.94,-0.63,-1.94,1.94,1.99,1.31,1.31,1.31
52.51,-0.65,-1.94,-0.65,-1.94,1.94,1.99,1.29,1.29,1.29
53.03,-0.67,-1.94,-0.67,-1.94,1.94,2.00,1.26,1.26,1.27
53.56,-0.70,-1.94,-0.70,-1.94,1.94,2.00,1.24,1.24,1.24
54.10,-0.72,-1.94,-0.72,-1.94,1.94,2.00,1.22,1.22,1.22
54.64,-0.75,-1.93,-0.75,-1.94,1.94,2.00,1.19,1.19,1.19
55.18,-0.77,-1.94,-0.77,-1.93,1.94,2.01,1.17,1.17,1.17
55.74,-0.79,-1.93,-0.79,-1.94,1.94,2.01,1.14,1.14,1.14
56.29,-0.82,-1.94,-0.82,-1.94,1.94,2.01,1.12,1.12,1.12
56.86,-0.84,-1.94,-0.84,-1.94,1.94,2.01,1.10,1.10,1.10
57.42,-0.87,-1.94,-0.87,-1.94,1.94,2.02,1.07,1.07,1.07
58.00,-0.89,-1.94,-0.89,-1.94,1.95,2.02,1.05,1.05,1.05
58.58,-0.92,-1.95,-0.92,-1.95,1.95,2.02,1.03,1.03,1.03
59.16,-0.94,-1.95,-0.94,-1.95,1.95,2.02,1.01,1.01,1.01
59.76,-0.97,-1.96,-0.97,-1.96,1.95,2.02,0.98,0.98,0.99
60.35,-1.00,-1.96,-1.00,-1.96,1.95,2.02,0.95,0.95,0.96
60.96,-1.02,-1.95,-1.02,-1.95,1.95,2.02,0.92,0.92,0.93
61.57,-1.05,-1.94,-1.05,-1.94,1.94,2.02,0.89,0.89,0.89
62.18,-1.08,-1.94,-1.08,-1.94,1.94,2.02,0.86,0.86,0.86
62.80,-1.10,-1.93,-1.10,-1.93,1.94,2.02,0.83,0.83,0.83
63.43,-1.13,-1.93,-1.13,-1.93,1.94,2.02,0.80,0.80,0.80
64.07,-1.16,-1.93,-1.16,-1.93,1.93,2.02,0.77,0.77,0.77
64.71,-1.19,-1.94,-1.19,-1.93,1.93,2.02,0.74,0.74,0.75
65.35,-1.22,-1.94,-1.22,-1.94,1.93,2.02,0.72,0.72,0.72
66.01,-1.25,-1.94,-1.25,-1.94,1.93,2.02,0.69,0.69,0.69
66.67,-1.28,-1.94,-1.28,-1.94,1.94,2.02,0.66,0.66,0.66
67.33,-1.31,-1.94,-1.31,-1.94,1.94,2.02,0.63,0.63,0.63
68.01,-1.34,-1.93,-1.34,-1.94,1.94,2.01,0.60,0.60,0.60
68.69,-1.37,-1.94,-1.37,-1.94,1.94,2.01,0.57,0.57,0.57
69.37,-1.40,-1.94,-1.40,-1.94,1.94,2.01,0.54,0.54,0.54
70.07,-1.43,-1.94,-1.43,-1.94,1.94,2.01,0.51,0.51,0.51
70.77,-1.46,-1.94,-1.46,-1.94,1.94,2.00,0.48,0.48,0.48
71.48,-1.49,-1.94,-1.49,-1.94,1.94,2.00,0.44,0.44,0.45
72.19,-1.52,-1.93,-1.52,-1.94,1.93,2.00,0.41,0.41,0.41
72.91,-1.56,-1.93,-1.56,-1.93,1.93,1.99,0.38,0.38,0.38
73.64,-1.59,-1.93,-1.59,-1.93,1.93,1.99,0.34,0.34,0.34
74.38,-1.62,-1.93,-1.62,-1.93,1.93,1.99,0.31,0.31,0.31
75.12,-1.66,-1.92,-1.66,-1.93,1.93,1.98,0.27,0.27,0.27
75.87,-1.69,-1.93,-1.69,-1.93,1.93,1.98,0.24,0.24,0.24
76.63,-1.72,-1.93,-1.72,-1.93,1.93,1.98,0.21,0.21,0.21
77.40,-1.76,-1.94,-1.76,-1.93,1.93,1.97,0.17,0.17,0.18
78.17,-1.79,-1.93,-1.79,-1.94,1.94,1.97,0.14,0.14,0.14
78.95,-1.83,-1.94,-1.83,-1.94,1.94,1.96,0.11,0.11,0.11
79.74,-1.86,-1.94,-1.86,-1.94,1.94,1.96,0.08,0.08,0.08
80.54,-1.90,-1.94,-1.90,-1.94,1.94,1.96,0.04,0.04,0.04
81.35,-1.94,-1.95,-1.94,-1.94,1.94,1.95,0.01,0.01,0.01
82.16,-1.97,-1.94,-1.97,-1.95,1.95,1.95,-0.03,-0.03,-0.03
82.98,-2.01,-1.95,-2.01,-1.95,1.95,1.94,-0.06,-0.06,-0.06
83.81,-2.05,-1.95,-2.05,-1.95,1.95,1.94,-0.10,-0.10,-0.10
84.65,-2.09,-1.95,-2.09,-1.95,1.95,1.94,-0.14,-0.14,-0.14
85.50,-2.13,-1.96,-2.13,-1.95,1.95,1.93,-0.17,-0.17,-0.17
86.35,-2.17,-1.95,-2.17,-1.95,1.95,1.93,-0.21,-0.21,-0.21
87.22,-2.20,-1.95,-2.20,-1.95,1.95,1.93,-0.25,-0.25,-0.25
88.09,-2.24,-1.95,-2.24,-1.95,1.95,1.92,-0.29,-0.29,-0.29
88.97,-2.28,-1.95,-2.29,-1.95,1.95,1.92,-0.33,-0.33,-0.33
89.86,-2.33,-1.95,-2.33,-1.95,1.95,1.92,-0.37,-0.37,-0.37
90.76,-2.37,-1.95,-2.37,-1.95,1.95,1.91,-0.42,-0.42,-0.42
91.66,-2.41,-1.95,-2.41,-1.94,1.95,1.91,-0.46,-0.46,-0.46
92.58,-2.45,-1.94,-2.45,-1.94,1.95,1.91,-0.51,-0.51,-0.51
93.51,-2.49,-1.94,-2.49,-1.94,1.94,1.91,-0.55,-0.55,-0.55
94.44,-2.54,-1.95,-2.54,-1.94,1.94,1.91,-0.60,-0.60,-0.59
