frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,0.63,0.63,0.63,0.63,-0.63,0.61,-0.00,-0.00,0.00
20.20,0.58,0.58,0.58,0.58,-0.58,0.62,-0.00,-0.00,0.00
20.40,0.53,0.53,0.53,0.53,-0.53,0.63,0.00,0.00,0.00
20.61,0.49,0.49,0.49,0.49,-0.49,0.65,0.00,0.00,0.00
20.81,0.44,0.44,0.44,0.44,-0.44,0.66,0.00,0.00,0.00
21.02,0.39,0.39,0.39,0.39,-0.39,0.68,0.00,0.00,0.00
21.23,0.34,0.34,0.34,0.34,-0.34,0.69,0.00,0.00,0.00
21.44,0.29,0.29,0.29,0.29,-0.29,0.71,0.00,0.00,0.00
21.66,0.24,0.24,0.24,0.24,-0.24,0.72,0.00,0.00,0.00
21.87,0.19,0.19,0.19,0.19,-0.19,0.74,-0.00,-0.00,0.00
22.09,0.14,0.14,0.14,0.14,-0.14,0.76,-0.00,-0.00,0.00
22.31,0.09,0.09,0.09,0.09,-0.09,0.77,-0.00,-0.00,0.00
22.54,0.04,0.04,0.04,0.04,-0.04,0.79,-0.00,-0.00,0.00
22.76,-0.01,-0.01,-0.01,-0.01,0.01,0.81,-0.00,-0.00,0.00
22.99,-0.06,-0.06,-0.06,-0.06,0.06,0.83,0.00,0.00,0.00
23.22,-0.11,-0.11,-0.11,-0.11,0.11,0.85,0.00,0.00,0.00
23.45,-0.16,-0.16,-0.16,-0.16,0.16,0.87,0.00,0.00,0.00
23.69,-0.21,-0.21,-0.21,-0.21,0.21,0.89,0.00,0.00,0.00
23.92,-0.26,-0.26,-0.26,-0.26,0.26,0.91,-0.00,0.00,0.00
24.16,-0.31,-0.31,-0.31,-0.31,0.31,0.93,-0.00,-0.00,0.00
24.40,-0.37,-0.37,-0.37,-0.37,0.37,0.95,-0.00,-0.00,0.00
24.65,-0.42,-0.42,-0.42,-0.42,0.42,0.97,-0.00,-0.00,0.00
24.89,-0.47,-0.47,-0.47,-0.47,0.47,0.99,-0.00,-0.00,0.00
25.14,-0.53,-0.53,-0.53,-0.53,0.52,1.02,-0.00,-0.00,0.00
25.39,-0.58,-0.58,-0.58,-0.58,0.58,1.04,0.00,0.00,0.00
