frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,9.16,7.23,9.16,7.23,-7.23,-6.80,1.94,1.94,1.94
20.20,9.15,7.18,9.15,7.18,-7.18,-6.80,1.97,1.97,1.97
20.40,9.13,7.13,9.13,7.14,-7.13,-6.79,2.00,2.00,2.00
20.61,9.12,7.10,9.12,7.09,-7.09,-6.79,2.03,2.03,2.02
20.81,9.10,7.05,9.10,7.05,-7.05,-6.79,2.05,2.05,2.05
21.02,9.09,7.01,9.09,7.02,-7.02,-6.78,2.07,2.07,2.08
21.23,9.07,6.98,9.07,6.98,-6.99,-6.78,2.08,2.08,2.09
21.44,9.06,6.96,9.06,6.96,-6.96,-6.77,2.10,2.10,2.10
21.66,9.04,6.93,9.04,6.93,-6.93,-6.77,2.11,2.11,2.11
21.87,9.03,6.92,9.03,6.91,-6.91,-6.76,2.11,2.11,2.11
22.09,9.01,6.89,9.01,6.89,-6.89,-6.76,2.12,2.12,2.12
22.31,8.99,6.88,8.99,6.87,-6.88,-6.75,2.12,2.12,2.12
22.54,8.98,6.86,8.98,6.86,-6.86,-6.75,2.12,2.12,2.12
22.76,8.96,6.84,8.96,6.85,-6.85,-6.74,2.12,2.12,2.12
22.99,8.95,6.84,8.95,6.84,-6.83,-6.74,2.11,2.11,2.11
23.22,8.93,6.82,8.93,6.82,-6.82,-6.73,2.11,2.11,2.11
23.45,8.92,6.81,8.92,6.81,-6.80,-6.73,2.11,2.11,2.11
23.69,8.90,6.79,8.90,6.79,-6.79,-6.72,2.11,2.11,2.11
23.92,8.88,6.77,8.88,6.77,-6.78,-6.71,2.11,2.11,2.11
24.16,8.87,6.76,8.87,6.76,-6.76,-6.71,2.11,2.11,2.11
24.40,8.85,6.74,8.85,6.74,-6.74,-6.70,2.10,2.10,2.11
24.65,8.83,6.73,8.83,6.73,-6.73,-6.69,2.10,2.10,2.10
24.89,8.81,6.72,8.81,6.72,-6.71,-6.69,2.10,2.10,2.10
25.14,8.80,6.70,8.80,6.70,-6.70,-6.68,2.10,2.10,2.10
25.39,8.78,6.68,8.78,6.68,-6.68,-6.67,2.10,2.10,2.10
25.65,8.76,6.66,8.76,6.67,-6.67,-6.67,2.10,2.10,2.10
25.91,8.75,6.66,8.75,6.65,-6.65,-6.66,2.09,2.09,2.09
26.16,8.73,6.64,8.73,6.64,-6.64,-6.65,2.09,2.09,2.09
26.43,8.71,6.62,8.71,6.62,-6.62,-6.64,2.09,2.09,2.09
26.69,8.69,6.60,8.69,6.60,-6.60,-6.64,2.09,2.09,2.09
26.96,8.67,6.58,8.67,6.59,-6.59,-6.63,2.08,2.08,2.09
27.23,8.65,6.57,8.65,6.57,-6.57,-6.62,2.08,2.08,2.08
27.50,8.63,6.56,8.63,6.56,-6.56,-6.61,2.08,2.08,2.08
27.77,8.62,6.55,8.62,6.55,-6.54,-6.60,2.07,2.07,2.07
28.05,8.60,6.53,8.60,6.53,-6.53,-6.59,2.07,2.07,2.07
28.33,8.58,6.52,8.58,6.52,-6.51,-6.59,2.06,2.06,2.06
28.62,8.56,6.50,8.56,6.50,-6.50,-6.58,2.06,2.06,2.06
28.90,8.54,6.48,8.54,6.48,-6.48,-6.57,2.05,2.05,2.06
29.19,8.52,6.47,8.52,6.47,-6.47,-6.56,2.05,2.05,2.05
29.48,8.50,6.45,8.50,6.45,-6.45,-6.55,2.05,2.05,2.05
29.78,8.48,6.44,8.48,6.44,-6.44,-6.54,2.04,2.04,2.04
30.08,8.46,6.42,8.46,6.42,-6.42,-6.53,2.04,2.04,2.04
30.38,8.44,6.41,8.44,6.41,-6.41,-6.52,2.03,2.03,2.03
30.68,8.42,6.39,8.42,6.39,-6.39,-6.51,2.03,2.03,2.03
30.99,8.40,6.38,8.40,6.38,-6.38,-6.50,2.02,2.02,2.02
31.30,8.37,6.37,8.37,6.36,-6.36,-6.49,2.01,2.01,2.01
31.61,8.35,6.34,8.35,6.35,-6.35,-6.48,2.01,2.01,2.01
31.93,8.33,6.33,8.33,6.33,-6.33,-6.47,2.00,2.00,2.00
32.24,8.31,6.32,8.31,6.32,-6.32,-6.46,1.99,1.99,1.99
32.57,8.29,6.30,8.29,6.30,-6.30,-6.45,1.99,1.99,1.99
32.89,8.27,6.29,8.27,6.29,-6.29,-6.44,1.98,1.98,1.98
33.22,8.24,6.28,8.24,6.27,-6.27,-6.43,1.97,1.97,1.97
