frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,4.49,4.49,4.49,4.49,-4.49,-4.29,-0.00,-0.00,0.00
20.20,4.42,4.42,4.42,4.42,-4.42,-4.26,-0.00,-0.00,0.00
20.40,4.35,4.35,4.35,4.35,-4.35,-4.22,0.00,0.00,0.00
20.61,4.28,4.28,4.28,4.28,-4.28,-4.18,0.00,0.00,0.00
20.81,4.21,4.21,4.21,4.21,-4.21,-4.14,0.00,0.00,0.00
21.02,4.15,4.15,4.15,4.15,-4.15,-4.09,0.00,0.00,0.00
21.23,4.08,4.08,4.08,4.08,-4.08,-4.05,0.00,0.00,0.00
21.44,4.01,4.01,4.01,4.01,-4.01,-4.00,0.00,0.00,0.00
21.66,3.94,3.94,3.94,3.94,-3.94,-3.95,0.00,0.00,0.00
21.87,3.87,3.87,3.87,3.87,-3.87,-3.89,-0.00,-0.00,0.00
22.09,3.80,3.80,3.80,3.80,-3.80,-3.83,-0.00,-0.00,0.00
22.31,3.74,3.74,3.74,3.74,-3.74,-3.78,-0.00,-0.00,0.00
22.54,3.67,3.67,3.67,3.67,-3.67,-3.72,-0.00,-0.00,0.00
22.76,3.60,3.60,3.60,3.60,-3.60,-3.65,-0.00,-0.00,0.00
22.99,3.53,3.53,3.53,3.53,-3.53,-3.59,0.00,0.00,0.00
23.22,3.46,3.46,3.46,3.46,-3.46,-3.52,0.00,0.00,0.00
23.45,3.39,3.39,3.39,3.39,-3.39,-3.46,0.00,0.00,0.00
23.69,3.32,3.32,3.32,3.32,-3.32,-3.39,0.00,0.00,0.00
23.92,3.25,3.25,3.25,3.25,-3.25,-3.32,-0.00,0.00,0.00
24.16,3.18,3.18,3.18,3.18,-3.18,-3.25,-0.00,-0.00,0.00
24.40,3.10,3.10,3.10,3.10,-3.10,-3.17,-0.00,-0.00,0.00
24.65,3.03,3.03,3.03,3.03,-3.03,-3.10,-0.00,-0.00,0.00
24.89,2.96,2.96,2.96,2.96,-2.96,-3.02,-0.00,-0.00,0.00
25.14,2.88,2.88,2.88,2.88,-2.88,-2.95,-0.00,-0.00,0.00
25.39,2.81,2.81,2.81,2.81,-2.81,-2.87,0.00,0.00,0.00
25.65,2.74,2.74,2.74,2.74,-2.73,-2.79,0.00,0.00,0.00
25.91,2.66,2.66,2.66,2.66,-2.66,-2.71,0.00,0.00,0.00
26.16,2.58,2.58,2.58,2.58,-2.58,-2.63,0.00,0.00,0.00
26.43,2.51,2.51,2.51,2.51,-2.51,-2.55,-0.00,-0.00,0.00
26.69,2.43,2.43,2.43,2.43,-2.43,-2.47,-0.00,-0.00,0.00
26.96,2.35,2.35,2.35,2.35,-2.35,-2.39,-0.00,-0.00,0.00
27.23,2.27,2.27,2.27,2.27,-2.27,-2.31,-0.00,-0.00,0.00
27.50,2.19,2.19,2.19,2.19,-2.20,-2.23,-0.00,-0.00,0.00
27.77,2.12,2.12,2.12,2.12,-2.12,-2.14,0.00,0.00,0.00
28.05,2.04,2.04,2.04,2.04,-2.04,-2.06,0.00,0.00,0.00
28.33,1.96,1.96,1.96,1.96,-1.96,-1.98,0.00,0.00,0.00
28.62,1.88,1.88,1.88,1.88,-1.88,-1.89,0.00,0.00,0.00
28.90,1.79,1.79,1.79,1.79,-1.80,-1.81,-0.00,-0.00,0.00
29.19,1.71,1.71,1.71,1.71,-1.71,-1.72,-0.00,-0.00,0.00
29.48,1.63,1.63,1.63,1.63,-1.63,-1.64,-0.00,-0.00,0.00
29.78,1.55,1.55,1.55,1.55,-1.55,-1.55,-0.00,-0.00,0.00
30.08,1.47,1.47,1.47,1.47,-1.47,-1.47,0.00,0.00,0.00
30.38,1.39,1.39,1.39,1.39,-1.38,-1.38,0.00,0.00,0.00
30.68,1.30,1.30,1.30,1.30,-1.30,-1.29,0.00,0.00,0.00
30.99,1.22,1.22,1.22,1.22,-1.22,-1.21,-0.00,0.00,0.00
31.30,1.13,1.13,1.13,1.13,-1.13,-1.12,-0.00,-0.00,0.00
31.61,1.04,1.04,1.04,1.04,-1.05,-1.03,-0.00,-0.00,0.00
31.93,0.96,0.96,0.96,0.96,-0.96,-0.95,-0.00,-0.00,0.00
32.24,0.87,0.87,0.87,0.87,-0.87,-0.86,-0.00,0.00,0.00
32.57,0.79,0.79,0.79,0.79,-0.79,-0.77,0.00,0.00,0.00
32.89,0.70,0.70,0.70,0.70,-0.70,-0.68,0.00,0.00,0.00
33.22,0.61,0.61,0.61,0.61,-0.61,-0.60,0.00,0.00,0.00
33.55,0.52,0.52,0.52,0.52,-0.52,-0.51,-0.00,-0.00,0.00
33.89,0.44,0.44,0.44,0.44,-0.44,-0.42,-0.00,-0.00,0.00
34.23,0.35,0.35,0.35,0.35,-0.35,-0.33,-0.00,-0.00,0.00
34.57,0.26,0.26,0.26,0.26,-0.26,-0.24,-0.00,0.00,0.00
34.92,0.17,0.17,0.17,0.17,-0.17,-0.15,0.00,0.00,0.00
35.27,0.08,0.08,0.08,0.08,-0.08,-0.06,0.00,0.00,0.00
35.62,-0.01,-0.01,-0.01,-0.01,0.01,0.02,0.00,0.00,0.00
35.97,-0.10,-0.10,-0.10,-0.10,0.10,0.11,-0.00,-0.00,0.00
36.33,-0.20,-0.20,-0.20,-0.20,0.19,0.20,-0.00,-0.00,0.00
36.70,-0.29,-0.29,-0.29,-0.29,0.29,0.30,-0.00,-0.00,0.00
