frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,20.64,20.64,20.64,20.64,-20.64,-19.55,-0.00,-0.00,0.00
20.20,20.53,20.53,20.53,20.53,-20.53,-19.57,-0.00,-0.00,0.00
20.40,20.42,20.42,20.42,20.42,-20.42,-19.58,0.00,0.00,0.00
20.61,20.31,20.31,20.31,20.31,-20.31,-19.57,0.00,0.00,0.00
20.81,20.20,20.20,20.20,20.20,-20.20,-19.54,0.00,0.00,0.00
21.02,20.09,20.09,20.09,20.09,-20.09,-19.50,0.00,0.00,0.00
21.23,19.99,19.99,19.99,19.99,-19.98,-19.45,0.00,0.00,0.00
21.44,19.88,19.88,19.88,19.88,-19.88,-19.38,0.00,0.00,0.00
21.66,19.77,19.77,19.77,19.77,-19.77,-19.31,0.00,0.00,0.00
21.87,19.66,19.66,19.66,19.66,-19.66,-19.22,-0.00,-0.00,0.00
22.09,19.55,19.55,19.55,19.55,-19.55,-19.12,-0.00,-0.00,0.00
22.31,19.44,19.44,19.44,19.44,-19.44,-19.02,-0.00,-0.00,0.00
22.54,19.33,19.33,19.33,19.33,-19.33,-18.90,-0.00,-0.00,0.00
22.76,19.22,19.22,19.22,19.22,-19.22,-18.79,-0.00,-0.00,0.00
22.99,19.11,19.11,19.11,19.11,-19.11,-18.66,0.00,0.00,0.00
23.22,19.00,19.00,19.00,19.00,-19.00,-18.53,0.00,0.00,0.00
23.45,18.89,18.89,18.89,18.89,-18.88,-18.40,0.01,0.00,0.00
23.69,18.77,18.77,18.77,18.77,-18.77,-18.27,0.00,0.00,0.00
23.92,18.65,18.65,18.65,18.65,-18.65,-18.13,-0.00,0.00,0.00
24.16,18.54,18.54,18.54,18.54,-18.54,-18.00,-0.00,-0.00,0.00
24.40,18.42,18.42,18.42,18.42,-18.42,-17.86,-0.00,-0.00,0.00
24.65,18.30,18.30,18.30,18.30,-18.30,-17.72,-0.00,-0.00,0.00
24.89,18.18,18.18,18.18,18.18,-18.18,-17.58,-0.00,-0.00,0.00
25.14,18.06,18.06,18.06,18.06,-18.06,-17.45,-0.00,-0.00,0.00
25.39,17.94,17.94,17.94,17.94,-17.94,-17.31,0.00,0.00,0.00
25.65,17.83,17.83,17.82,17.82,-17.82,-17.18,0.00,0.00,0.00
25.91,17.70,17.70,17.70,17.70,-17.70,-17.04,0.00,0.00,0.00
26.16,17.58,17.58,17.58,17.58,-17.57,-16.91,0.00,0.00,0.00
26.43,17.45,17.45,17.45,17.45,-17.45,-16.78,-0.00,-0.00,0.00
26.69,17.32,17.32,17.32,17.32,-17.32,-16.66,-0.00,-0.00,0.00
26.96,17.20,17.20,17.20,17.20,-17.20,-16.53,-0.00,-0.00,0.00
27.23,17.07,17.07,17.07,17.07,-17.07,-16.41,-0.00,-0.00,0.00
27.50,16.94,16.94,16.94,16.94,-16.94,-16.29,-0.00,-0.00,0.00
27.77,16.81,16.81,16.82,16.82,-16.81,-16.17,0.00,0.00,0.00
28.05,16.69,16.69,16.69,16.69,-16.68,-16.05,0.00,0.00,0.00
28.33,16.56,16.56,16.55,16.55,-16.55,-15.94,0.00,0.00,0.00
28.62,16.42,16.42,16.42,16.42,-16.42,-15.83,0.00,0.00,0.00
28.90,16.29,16.29,16.29,16.29,-16.29,-15.71,-0.00,-0.00,0.00
29.19,16.15,16.15,16.15,16.15,-16.15,-15.61,-0.00,-0.00,0.00
29.48,16.02,16.02,16.02,16.02,-16.02,-15.50,-0.00,-0.00,0.00
29.78,15.88,15.88,15.88,15.88,-15.88,-15.39,-0.00,-0.00,0.00
30.08,15.75,15.75,15.75,15.75,-15.74,-15.28,0.00,0.00,0.00
30.38,15.61,15.61,15.61,15.61,-15.61,-15.18,0.00,0.00,0.00
30.68,15.47,15.47,15.47,15.47,-15.47,-15.07,0.00,0.00,0.00
30.99,15.33,15.33,15.33,15.33,-15.33,-14.97,-0.00,0.00,0.00
31.30,15.19,15.19,15.19,15.19,-15.19,-14.87,-0.00,-0.00,0.00
31.61,15.04,15.04,15.04,15.04,-15.05,-14.76,-0.00,-0.00,0.00
