frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,9.10,7.16,9.10,7.16,-7.16,-6.96,1.94,1.94,1.94
20.20,9.09,7.12,9.09,7.12,-7.12,-6.96,1.97,1.97,1.97
20.40,9.08,7.08,9.08,7.09,-7.08,-6.96,2.00,2.00,2.00
20.61,9.07,7.05,9.07,7.05,-7.05,-6.95,2.03,2.03,2.02
20.81,9.06,7.01,9.06,7.01,-7.01,-6.95,2.05,2.05,2.05
21.02,9.05,6.97,9.05,6.98,-6.99,-6.95,2.07,2.07,2.08
21.23,9.04,6.95,9.04,6.95,-6.96,-6.95,2.08,2.08,2.09
21.44,9.03,6.93,9.03,6.93,-6.93,-6.94,2.10,2.10,2.10
21.66,9.02,6.91,9.02,6.92,-6.92,-6.94,2.11,2.11,2.11
21.87,9.01,6.90,9.01,6.90,-6.90,-6.93,2.11,2.11,2.11
22.09,9.00,6.88,9.00,6.89,-6.89,-6.93,2.12,2.12,2.12
22.31,8.99,6.87,8.99,6.87,-6.88,-6.92,2.12,2.12,2.12
22.54,8.98,6.86,8.98,6.86,-6.87,-6.92,2.12,2.12,2.12
22.76,8.97,6.85,8.97,6.86,-6.86,-6.91,2.12,2.12,2.12
22.99,8.96,6.85,8.96,6.85,-6.85,-6.90,2.11,2.11,2.11
23.22,8.95,6.84,8.95,6.84,-6.84,-6.90,2.11,2.11,2.11
23.45,8.94,6.83,8.94,6.84,-6.83,-6.89,2.11,2.11,2.11
23.69,8.93,6.82,8.93,6.82,-6.82,-6.88,2.11,2.11,2.11
23.92,8.92,6.81,8.92,6.81,-6.81,-6.87,2.11,2.11,2.11
24.16,8.91,6.80,8.91,6.80,-6.80,-6.87,2.11,2.11,2.11
24.40,8.90,6.79,8.90,6.79,-6.80,-6.86,2.10,2.10,2.11
24.65,8.89,6.79,8.89,6.79,-6.79,-6.85,2.10,2.10,2.10
24.89,8.88,6.78,8.88,6.78,-6.78,-6.84,2.10,2.10,2.10
25.14,8.87,6.77,8.87,6.77,-6.77,-6.83,2.10,2.10,2.10
25.39,8.86,6.76,8.86,6.76,-6.76,-6.82,2.10,2.10,2.10
25.65,8.84,6.75,8.84,6.75,-6.75,-6.81,2.10,2.10,2.10
25.91,8.83,6.74,8.83,6.74,-6.74,-6.80,2.09,2.09,2.09
26.16,8.82,6.73,8.82,6.73,-6.73,-6.80,2.09,2.09,2.09
26.43,8.81,6.72,8.81,6.72,-6.72,-6.79,2.09,2.09,2.09
26.69,8.80,6.71,8.80,6.71,-6.71,-6.78,2.09,2.09,2.09
26.96,8.78,6.70,8.78,6.70,-6.70,-6.77,2.08,2.08,2.09
27.23,8.77,6.69,8.77,6.69,-6.69,-6.76,2.08,2.08,2.08
27.50,8.76,6.68,8.76,6.68,-6.68,-6.75,2.08,2.08,2.08
27.77,8.75,6.68,8.75,6.68,-6.68,-6.74,2.07,2.07,2.07
28.05,8.74,6.67,8.74,6.67,-6.67,-6.73,2.07,2.07,2.07
28.33,8.72,6.66,8.72,6.66,-6.66,-6.72,2.06,2.06,2.06
28.62,8.71,6.65,8.71,6.65,-6.65,-6.71,2.06,2.06,2.06
28.90,8.70,6.64,8.70,6.64,-6.64,-6.70,2.05,2.05,2.06
29.19,8.68,6.63,8.68,6.63,-6.63,-6.69,2.05,2.05,2.05
29.48,8.67,6.62,8.67,6.62,-6.62,-6.67,2.05,2.05,2.05
29.78,8.66,6.62,8.66,6.62,-6.62,-6.66,2.04,2.04,2.04
30.08,8.64,6.60,8.64,6.61,-6.61,-6.65,2.04,2.04,2.04
30.38,8.63,6.60,8.63,6.60,-6.60,-6.64,2.03,2.03,2.03
30.68,8.62,6.59,8.62,6.59,-6.59,-6.63,2.03,2.03,2.03
30.99,8.60,6.58,8.60,6.58,-6.58,-6.62,2.02,2.02,2.02
31.30,8.59,6.58,8.59,6.57,-6.58,-6.61,2.01,2.01,2.01
31.61,8.57,6.56,8.57,6.57,-6.57,-6.60,2.01,2.01,2.01
31.93,8.56,6.56,8.56,6.56,-6.56,-6.60,2.00,2.00,2.00
32.24,8.54,6.56,8.54,6.55,-6.55,-6.59,1.99,1.99,1.99
32.57,8.53,6.54,8.53,6.55,-6.54,-6.58,1.99,1.99,1.99
32.89,8.52,6.54,8.52,6.54,-6.54,-6.57,1.98,1.98,1.98
33.22,8.50,6.53,8.50,6.53,-6.53,-6.56,1.97,1.97,1.97
33.55,8.49,6.52,8.49,6.52,-6.52,-6.55,1.96,1.96,1.97
33.89,8.47,6.51,8.47,6.51,-6.51,-6.54,1.96,1.96,1.96
34.23,8.45,6.51,8.45,6.50,-6.51,-6.53,1.95,1.95,1.95
34.57,8.44,6.50,8.44,6.50,-6.50,-6.52,1.94,1.94,1.94
34.92,8.42,6.49,8.42,6.49,-6.49,-6.51,1.93,1.93,1.93
35.27,8.41,6.49,8.41,6.49,-6.49,-6.51,1.92,1.92,1.92
35.62,8.39,6.48,8.39,6.48,-6.48,-6.50,1.91,1.91,1.91
35.97,8.37,6.48,8.37,6.48,-6.48,-6.49,1.90,1.90,1.90
36.33,8.36,6.47,8.36,6.47,-6.47,-6.48,1.89,1.89,1.89
36.70,8.34,6.46,8.34,6.46,-6.46,-6.47,1.88,1.88,1.88
37.06,8.33,6.46,8.33,6.46,-6.46,-6.47,1.87,1.87,1.87
37.43,8.31,6.45,8.31,6.45,-6.45,-6.46,1.86,1.86,1.86
37.81,8.29,6.44,8.29,6.44,-6.44,-6.45,1.85,1.85,1.85
38.19,8.27,6.43,8.27,6.43,-6.44,-6.45,1.84,1.84,1.84
38.57,8.26,6.43,8.26,6.43,-6.43,-6.44,1.83,1.83,1.83
38.95,8.24,6.42,8.24,6.42,-6.42,-6.43,1.81,1.81,1.82
39.34,8.22,6.42,8.22,6.42,-6.42,-6.43,1.80,1.80,1.80
39.74,8.20,6.41,8.20,6.41,-6.41,-6.42,1.79,1.79,1.79
40.14,8.18,6.41,8.18,6.41,-6.40,-6.42,1.78,1.78,1.78
40.54,8.17,6.40,8.17,6.40,-6.40,-6.41,1.77,1.77,1.77
40.94,8.15,6.39,8.15,6.39,-6.39,-6.41,1.76,1.76,1.76
41.35,8.13,6.38,8.13,6.38,-6.38,-6.40,1.75,1.75,1.75
41.76,8.11,6.37,8.11,6.37,-6.37,-6.40,1.74,1.74,1.74
42.18,8.09,6.36,8.09,6.36,-6.36,-6.39,1.73,1.73,1.73
42.60,8.07,6.35,8.07,6.35,-6.36,-6.39,1.72,1.72,1.72
43.03,8.05,6.34,8.05,6.35,-6.35,-6.39,1.70,1.70,1.71
43.46,8.03,6.34,8.03,6.34,-6.35,-6.38,1.68,1.68,1.69
43.90,8.01,6.34,8.01,6.34,-6.34,-6.38,1.67,1.67,1.67
44.33,7.99,6.34,7.99,6.34,-6.34,-6.38,1.65,1.65,1.65
44.78,7.97,6.34,7.97,6.34,-6.34,-6.37,1.63,1.63,1.63
45.23,7.95,6.34,7.95,6.34,-6.33,-6.37,1.62,1.62,1.61
45.68,7.93,6.33,7.93,6.33,-6.33,-6.37,1.60,1.60,1.60
46.13,7.91,6.33,7.91,6.33,-6.33,-6.37,1.58,1.58,1.58
46.60,7.89,6.32,7.89,6.32,-6.32,-6.36,1.57,1.57,1.57
47.06,7.87,6.32,7.87,6.32,-6.32,-6.36,1.55,1.55,1.55
47.53,7.84,6.32,7.84,6.31,-6.32,-6.36,1.53,1.53,1.53
48.01,7.82,6.30,7.82,6.31,-6.32,-6.36,1.51,1.51,1.52
48.49,7.80,6.31,7.80,6.31,-6.32,-6.36,1.48,1.48,1.49
48.97,7.78,6.32,7.78,6.32,-6.32,-6.36,1.46,1.46,1.46
49.46,7.75,6.33,7.75,6.33,-6.32,-6.36,1.43,1.43,1.43
49.96,7.73,6.33,7.73,6.33,-6.32,-6.36,1.41,1.41,1.40
50.46,7.71,6.33,7.71,6.33,-6.33,-6.36,1.38,1.38,1.38
50.96,7.69,6.33,7.69,6.33,-6.33,-6.35,1.36,1.36,1.36
51.47,7.66,6.33,7.66,6.33,-6.33,-6.35,1.33,1.33,1.33
51.99,7.64,6.33,7.64,6.33,-6.33,-6.35,1.31,1.31,1.31
52.51,7.61,6.32,7.61,6.33,-6.33,-6.35,1.29,1.29,1.29
53.03,7.59,6.32,7.59,6.32,-6.33,-6.35,1.26,1.26,1.27
53.56,7.56,6.33,7.56,6.32,-6.32,-6.36,1.24,1.24,1.24
54.10,7.54,6.32,7.54,6.32,-6.32,-6.36,1.22,1.22,1.22
54.64,7.51,6.33,7.51,6.32,-6.32,-6.36,1.19,1.19,1.19
55.18,7.49,6.32,7.49,6.32,-6.32,-6.36,1.17,1.17,1.17
55.74,7.46,6.32,7.46,6.32,-6.32,-6.36,1.14,1.14,1.14
56.29,7.44,6.32,7.44,6.32,-6.32,-6.36,1.12,1.12,1.12
56.86,7.41,6.31,7.41,6.32,-6.31,-6.36,1.10,1.10,1.10
57.42,7.38,6.32,7.38,6.31,-6.31,-6.36,1.07,1.07,1.07
58.00,7.36,6.31,7.36,6.31,-6.31,-6.36,1.05,1.05,1.05
58.58,7.33,6.30,7.33,6.30,-6.30,-6.36,1.03,1.03,1.03
59.16,7.30,6.30,7.30,6.29,-6.30,-6.36,1.01,1.01,1.01
59.76,7.28,6.29,7.28,6.29,-6.30,-6.36,0.98,0.98,0.99
60.35,7.25,6.29,7.25,6.29,-6.30,-6.36,0.95,0.95,0.96
60.96,7.22,6.29,7.22,6.29,-6.30,-6.37,0.92,0.92,0.93
61.57,7.19,6.30,7.19,6.30,-6.30,-6.37,0.89,0.89,0.89
62.18,7.16,6.30,7.16,6.30,-6.30,-6.37,0.86,0.86,0.86
62.80,7.13,6.30,7.13,6.31,-6.30,-6.37,0.83,0.83,0.83
63.43,7.10,6.31,7.10,6.30,-6.30,-6.37,0.80,0.80,0.80
64.07,7.07,6.31,7.07,6.30,-6.30,-6.37,0.77,0.77,0.77
64.71,7.04,6.30,7.04,6.30,-6.30,-6.37,0.74,0.74,0.75
65.35,7.01,6.30,7.01,6.30,-6.30,-6.37,0.72,0.72,0.72
66.01,6.98,6.29,6.98,6.29,-6.30,-6.37,0.69,0.69,0.69
66.67,6.95,6.29,6.95,6.29,-6.29,-6.37,0.66,0.66,0.66
67.33,6.92,6.29,6.92,6.29,-6.29,-6.37,0.63,0.63,0.63
68.01,6.89,6.29,6.89,6.29,-6.29,-6.37,0.60,0.60,0.60
68.69,6.86,6.29,6.86,6.29,-6.29,-6.37,0.57,0.57,0.57
69.37,6.82,6.29,6.82,6.29,-6.29,-6.37,0.54,0.54,0.54
70.07,6.79,6.28,6.79,6.28,-6.28,-6.37,0.51,0.51,0.51
70.77,6.76,6.28,6.76,6.28,-6.28,-6.37,0.48,0.48,0.48
71.48,6.73,6.28,6.73,6.28,-6.28,-6.37,0.44,0.44,0.45
72.19,6.69,6.28,6.69,6.28,-6.28,-6.37,0.41,0.41,0.41
72.91,6.66,6.28,6.66,6.28,-6.28,-6.37,0.38,0.38,0.38
73.64,6.62,6.29,6.62,6.28,-6.28,-6.37,0.34,0.34,0.34
74.38,6.59,6.28,6.59,6.28,-6.28,-6.37,0.31,0.31,0.31
75.12,6.55,6.29,6.55,6.28,-6.28,-6.36,0.27,0.27,0.27
75.87,6.52,6.28,6.52,6.28,-6.28,-6.36,0.24,0.24,0.24
76.63,6.48,6.27,6.48,6.28,-6.28,-6.36,0.21,0.21,0.21
77.40,6.45,6.27,6.45,6.27,-6.27,-6.36,0.17,0.17,0.18
78.17,6.41,6.27,6.41,6.27,-6.27,-6.36,0.14,0.14,0.14
78.95,6.37,6.26,6.37,6.26,-6.26,-6.35,0.11,0.11,0.11
79.74,6.34,6.26,6.34,6.26,-6.26,-6.35,0.08,0.08,0.08
80.54,6.30,6.26,6.30,6.26,-6.26,-6.35,0.04,0.04,0.04
81.35,6.26,6.25,6.26,6.25,-6.25,-6.34,0.01,0.01,0.01
82.16,6.22,6.25,6.22,6.25,-6.25,-6.34,-0.03,-0.03,-0.03
82.98,6.18,6.24,6.18,6.25,-6.25,-6.33,-0.06,-0.06,-0.06
83.81,6.14,6.24,6.14,6.24,-6.24,-6.33,-0.10,-0.10,-0.10
84.65,6.10,6.24,6.10,6.24,-6.24,-6.32,-0.14,-0.14,-0.14
85.50,6.06,6.23,6.06,6.24,-6.24,-6.32,-0.17,-0.17,-0.17
86.35,6.02,6.23,6.02,6.23,-6.23,-6.31,-0.21,-0.21,-0.21
87.22,5.98,6.23,5.98,6.23,-6.23,-6.31,-0.25,-0.25,-0.25
88.09,5.94,6.23,5.94,6.23,-6.23,-6.30,-0.29,-0.29,-0.29
88.97,5.90,6.23,5.90,6.23,-6.23,-6.29,-0.33,-0.33,-0.33
89.86,5.85,6.23,5.85,6.23,-6.23,-6.28,-0.37,-0.37,-0.37
90.76,5.81,6.23,5.81,6.23,-6.23,-6.28,-0.42,-0.42,-0.42
91.66,5.77,6.23,5.77,6.23,-6.23,-6.27,-0.46,-0.46,-0.46
92.58,5.72,6.24,5.72,6.23,-6.23,-6.26,-0.51,-0.51,-0.51
93.51,5.68,6.23,5.68,6.23,-6.23,-6.25,-0.55,-0.55,-0.55
94.44,5.64,6.23,5.64,6.23,-6.23,-6.24,-0.60,-0.60,-0.59
95.39,5.59,6.23,5.59,6.23,-6.23,-6.24,-0.64,-0.64,-0.64
96.34,5.54,6.24,5.54,6.24,-6.24,-6.23,-0.69,-0.69,-0.69
97.30,5.50,6.24,5.50,6.24,-6.24,-6.22,-0.74,-0.74,-0.74
98.28,5.45,6.24,5.45,6.24,-6.24,-6.21,-0.79,-0.79,-0.79
99.26,5.40,6.24,5.40,6.24,-6.24,-6.20,-0.84,-0.84,-0.83
100.25,5.36,6.24,5.36,6.24,-6.24,-6.19,-0.88,-0.88,-0.88
101.25,5.31,6.24,5.31,6.24,-6.24,-6.18,-0.93,-0.93,-0.93
102.27,5.26,6.24,5.26,6.24,-6.23,-6.16,-0.97,-0.97,-0.98
103.29,5.21,6.24,5.21,6.23,-6.23,-6.15,-1.02,-1.02,-1.03
104.32,5.14,6.22,5.15,6.22,-6.22,-6.14,-1.07,-1.07,-1.07
105.37,5.08,6.20,5.08,6.20,-6.20,-6.13,-1.12,-1.12,-1.12
106.42,5.02,6.19,5.02,6.19,-6.19,-6.12,-1.17,-1.17,-1.17
107.48,4.95,6.17,4.95,6.17,-6.17,-6.11,-1.22,-1.22,-1.22
108.56,4.88,6.15,4.88,6.15,-6.16,-6.09,-1.27,-1.27,-1.27
109.64,4.82,6.14,4.82,6.14,-6.14,-6.08,-1.32,-1.32,-1.32
110.74,4.75,6.12,4.75,6.12,-6.12,-6.07,-1.37,-1.37,-1.37
111.85,4.68,6.10,4.68,6.10,-6.11,-6.06,-1.43,-1.43,-1.42
112.97,4.61,6.09,4.61,6.09,-6.09,-6.04,-1.48,-1.48,-1.48
114.10,4.54,6.08,4.54,6.08,-6.08,-6.03,-1.53,-1.53,-1.53
115.24,4.48,6.07,4.48,6.07,-6.07,-6.02,-1.59,-1.59,-1.59
116.39,4.41,6.05,4.41,6.05,-6.05,-6.00,-1.64,-1.64,-1.64
117.55,4.34,6.04,4.34,6.04,-6.04,-5.99,-1.70,-1.70,-1.70
118.73,4.28,6.03,4.28,6.03,-6.03,-5.98,-1.75,-1.75,-1.75
119.92,4.21,6.01,4.21,6.01,-6.01,-5.96,-1.80,-1.80,-1.80
121.12,4.15,6.00,4.15,6.00,-6.00,-5.95,-1.85,-1.85,-1.85
122.33,4.08,5.98,4.08,5.98,-5.98,-5.93,-1.90,-1.90,-1.90
123.55,4.02,5.97,4.02,5.97,-5.97,-5.92,-1.95,-1.95,-1.95
124.79,3.95,5.95,3.95,5.95,-5.96,-5.91,-2.00,-2.00,-2.00
126.03,3.89,5.94,3.89,5.94,-5.94,-5.89,-2.05,-2.05,-2.05
127.29,3.82,5.92,3.82,5.93,-5.93,-5.88,-2.11,-2.11,-2.10
128.57,3.76,5.92,3.76,5.91,-5.91,-5.87,-2.16,-2.16,-2.16
129.85,3.69,5.90,3.69,5.90,-5.90,-5.85,-2.21,-2.21,-2.21
131.15,3.62,5.88,3.62,5.88,-5.88,-5.84,-2.26,-2.26,-2.26
132.46,3.56,5.87,3.56,5.86,-5.86,-5.83,-2.31,-2.31,-2.31
133.79,3.49,5.84,3.49,5.84,-5.84,-5.82,-2.36,-2.36,-2.35
135.12,3.42,5.82,3.42,5.82,-5.83,-5.80,-2.40,-2.40,-2.40
136.48,3.36,5.80,3.36,5.80,-5.80,-5.79,-2.45,-2.45,-2.44
137.84,3.29,5.78,3.29,5.78,-5.78,-5.78,-2.49,-2.49,-2.49
139.22,3.22,5.76,3.22,5.76,-5.76,-5.77,-2.53,-2.53,-2.54
140.61,3.16,5.74,3.16,5.74,-5.73,-5.76,-2.57,-2.57,-2.58
142.02,3.09,5.70,3.09,5.71,-5.71,-5.75,-2.61,-2.61,-2.61
143.44,3.03,5.68,3.03,5.68,-5.68,-5.74,-2.65,-2.65,-2.65
144.87,2.97,5.66,2.97,5.66,-5.66,-5.73,-2.69,-2.69,-2.69
146.32,2.90,5.64,2.90,5.63,-5.63,-5.72,-2.73,-2.73,-2.73
147.78,2.84,5.60,2.84,5.61,-5.61,-5.71,-2.77,-2.77,-2.76
149.26,2.79,5.59,2.79,5.59,-5.59,-5.70,-2.80,-2.80,-2.80
150.75,2.73,5.57,2.73,5.57,-5.57,-5.69,-2.84,-2.84,-2.84
152.26,2.67,5.56,2.68,5.56,-5.56,-5.69,-2.88,-2.88,-2.88
153.78,2.62,5.54,2.62,5.54,-5.54,-5.68,-2.92,-2.92,-2.92
155.32,2.57,5.53,2.57,5.53,-5.53,-5.67,-2.96,-2.96,-2.96
156.88,2.52,5.52,2.52,5.53,-5.53,-5.67,-3.00,-3.00,-3.00
158.44,2.48,5.52,2.48,5.52,-5.52,-5.66,-3.04,-3.04,-3.04
160.03,2.43,5.52,2.43,5.52,-5.51,-5.66,-3.08,-3.08,-3.08
161.63,2.39,5.51,2.39,5.51,-5.51,-5.66,-3.12,-3.12,-3.12
163.24,2.35,5.51,2.35,5.51,-5.51,-5.65,-3.16,-3.16,-3.16
164.88,2.32,5.51,2.31,5.51,-5.51,-5.65,-3.20,-3.20,-3.19
166.53,2.28,5.51,2.28,5.51,-5.51,-5.65,-3.23,-3.23,-3.23
168.19,2.24,5.52,2.24,5.52,-5.52,-5.65,-3.27,-3.27,-3.27
169.87,2.21,5.52,2.21,5.52,-5.52,-5.65,-3.31,-3.31,-3.31
171.57,2.18,5.53,2.18,5.53,-5.53,-5.66,-3.35,-3.35,-3.35
173.29,2.15,5.53,2.15,5.54,-5.54,-5.66,-3.39,-3.39,-3.38
175.02,2.13,5.55,2.13,5.55,-5.55,-5.66,-3.42,-3.42,-3.42
176.77,2.10,5.56,2.10,5.56,-5.56,-5.67,-3.46,-3.46,-3.46
178.54,2.08,5.58,2.08,5.58,-5.58,-5.67,-3.50,-3.50,-3.50
180.32,2.06,5.60,2.06,5.60,-5.60,-5.68,-3.54,-3.54,-3.54
182.13,2.05,5.62,2.05,5.62,-5.62,-5.68,-3.57,-3.57,-3.57
183.95,2.03,5.64,2.03,5.64,-5.64,-5.69,-3.61,-3.61,-3.61
185.79,2.02,5.66,2.02,5.67,-5.67,-5.70,-3.64,-3.64,-3.64
187.65,2.01,5.69,2.01,5.69,-5.69,-5.71,-3.68,-3.68,-3.68
189.52,2.01,5.72,2.01,5.72,-5.72,-5.72,-3.71,-3.71,-3.71
191.42,2.00,5.74,2.00,5.74,-5.74,-5.73,-3.74,-3.74,-3.74
193.33,2.00,5.77,2.00,5.77,-5.77,-5.74,-3.77,-3.77,-3.77
195.27,2.00,5.80,2.00,5.80,-5.80,-5.75,-3.80,-3.80,-3.80
197.22,1.99,5.83,1.99,5.83,-5.82,-5.76,-3.83,-3.83,-3.83
199.19,1.99,5.86,1.99,5.85,-5.85,-5.78,-3.86,-3.86,-3.86
201.18,1.99,5.88,1.99,5.88,-5.87,-5.79,-3.88,-3.88,-3.88
203.19,1.99,5.90,2.00,5.90,-5.90,-5.80,-3.90,-3.90,-3.90
205.23,2.00,5.92,2.00,5.92,-5.92,-5.81,-3.92,-3.92,-3.92
207.28,2.00,5.93,2.00,5.94,-5.94,-5.83,-3.94,-3.94,-3.93
209.35,2.01,5.96,2.01,5.96,-5.96,-5.84,-3.95,-3.95,-3.95
211.44,2.01,5.98,2.01,5.97,-5.97,-5.85,-3.96,-3.96,-3.97
213.56,2.01,5.99,2.01,5.99,-5.99,-5.86,-3.98,-3.98,-3.98
215.69,2.01,5.99,2.01,5.99,-6.00,-5.87,-3.99,-3.99,-3.98
217.85,2.01,6.00,2.01,6.00,-6.01,-5.88,-4.00,-4.00,-3.99
220.03,2.01,6.01,2.01,6.01,-6.01,-5.89,-4.00,-4.00,-4.00
222.23,2.01,6.02,2.00,6.01,-6.01,-5.90,-4.01,-4.01,-4.01
224.45,2.00,6.01,2.00,6.01,-6.01,-5.90,-4.01,-4.01,-4.01
226.70,1.99,6.00,1.99,6.00,-6.00,-5.91,-4.01,-4.01,-4.01
228.96,1.98,5.99,1.98,5.99,-5.99,-5.91,-4.01,-4.01,-4.01
231.25,1.97,5.97,1.97,5.97,-5.97,-5.91,-4.01,-4.01,-4.00
233.57,1.95,5.95,1.95,5.95,-5.95,-5.91,-4.00,-4.00,-4.00
235.90,1.93,5.93,1.93,5.93,-5.92,-5.91,-4.00,-4.00,-4.00
238.26,1.91,5.90,1.91,5.90,-5.89,-5.90,-3.99,-3.99,-3.99
240.64,1.88,5.86,1.88,5.86,-5.86,-5.89,-3.98,-3.98,-3.98
243.05,1.86,5.83,1.86,5.83,-5.83,-5.88,-3.97,-3.97,-3.97
245.48,1.83,5.79,1.83,5.79,-5.79,-5.87,-3.96,-3.96,-3.96
247.93,1.80,5.75,1.80,5.75,-5.75,-5.85,-3.95,-3.95,-3.95
250.41,1.77,5.71,1.77,5.71,-5.71,-5.83,-3.94,-3.94,-3.94
252.92,1.75,5.67,1.75,5.67,-5.68,-5.80,-3.93,-3.93,-3.92
255.45,1.73,5.63,1.73,5.64,-5.64,-5.78,-3.91,-3.91,-3.90
258.00,1.72,5.61,1.72,5.60,-5.61,-5.75,-3.89,-3.89,-3.89
260.58,1.70,5.57,1.70,5.57,-5.57,-5.71,-3.87,-3.87,-3.87
263.19,1.69,5.54,1.69,5.54,-5.54,-5.68,-3.85,-3.85,-3.85
265.82,1.68,5.51,1.68,5.51,-5.51,-5.64,-3.83,-3.83,-3.83
268.48,1.67,5.48,1.67,5.48,-5.48,-5.60,-3.81,-3.81,-3.81
271.16,1.65,5.45,1.65,5.44,-5.44,-5.55,-3.79,-3.79,-3.79
273.87,1.64,5.41,1.64,5.41,-5.41,-5.50,-3.77,-3.77,-3.77
276.61,1.62,5.37,1.62,5.37,-5.37,-5.45,-3.75,-3.75,-3.75
279.38,1.60,5.33,1.60,5.33,-5.33,-5.40,-3.73,-3.73,-3.73
282.17,1.57,5.29,1.57,5.28,-5.28,-5.35,-3.71,-3.71,-3.71
284.99,1.55,5.24,1.55,5.24,-5.23,-5.29,-3.69,-3.69,-3.69
287.84,1.51,5.18,1.51,5.18,-5.18,-5.23,-3.67,-3.67,-3.67
290.72,1.47,5.12,1.47,5.12,-5.12,-5.17,-3.65,-3.65,-3.65
293.63,1.43,5.06,1.43,5.06,-5.06,-5.11,-3.63,-3.63,-3.63
296.57,1.39,5.00,1.39,5.00,-5.00,-5.04,-3.61,-3.61,-3.61
299.53,1.35,4.94,1.35,4.94,-4.94,-4.98,-3.59,-3.59,-3.59
302.53,1.31,4.88,1.31,4.88,-4.88,-4.91,-3.57,-3.57,-3.57
305.55,1.27,4.81,1.27,4.82,-4.82,-4.85,-3.55,-3.55,-3.54
308.61,1.24,4.76,1.24,4.76,-4.76,-4.78,-3.52,-3.52,-3.52
311.69,1.20,4.69,1.20,4.69,-4.70,-4.71,-3.49,-3.49,-3.49
314.81,1.17,4.63,1.17,4.64,-4.64,-4.64,-3.47,-3.47,-3.46
317.96,1.14,4.58,1.14,4.58,-4.58,-4.57,-3.44,-3.44,-3.44
321.14,1.10,4.52,1.10,4.52,-4.52,-4.51,-3.42,-3.42,-3.42
