frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,-9.69,-11.63,-9.69,-11.63,11.63,11.65,1.94,1.94,1.94
20.20,-9.67,-11.64,-9.67,-11.64,11.64,11.64,1.97,1.97,1.97
20.40,-9.66,-11.66,-9.66,-11.66,11.66,11.64,2.00,2.00,2.00
20.61,-9.65,-11.66,-9.65,-11.67,11.67,11.63,2.03,2.03,2.02
20.81,-9.63,-11.68,-9.63,-11.68,11.68,11.63,2.05,2.05,2.05
21.02,-9.62,-11.70,-9.62,-11.69,11.69,11.62,2.07,2.07,2.08
21.23,-9.60,-11.69,-9.60,-11.69,11.69,11.62,2.08,2.08,2.09
21.44,-9.59,-11.69,-9.59,-11.69,11.69,11.61,2.10,2.10,2.10
21.66,-9.58,-11.68,-9.58,-11.68,11.68,11.60,2.11,2.11,2.11
21.87,-9.56,-11.67,-9.56,-11.67,11.67,11.59,2.11,2.11,2.11
22.09,-9.55,-11.67,-9.55,-11.66,11.66,11.59,2.12,2.12,2.12
22.31,-9.53,-11.65,-9.53,-11.65,11.65,11.58,2.12,2.12,2.12
22.54,-9.52,-11.64,-9.52,-11.64,11.64,11.57,2.12,2.12,2.12
22.76,-9.50,-11.62,-9.50,-11.62,11.62,11.56,2.12,2.12,2.12
22.99,-9.49,-11.60,-9.49,-11.60,11.61,11.55,2.11,2.11,2.11
23.22,-9.48,-11.59,-9.48,-11.59,11.59,11.54,2.11,2.11,2.11
23.45,-9.46,-11.57,-9.46,-11.57,11.57,11.53,2.11,2.11,2.11
23.69,-9.45,-11.56,-9.45,-11.56,11.56,11.52,2.11,2.11,2.11
23.92,-9.43,-11.54,-9.43,-11.54,11.54,11.51,2.11,2.11,2.11
24.16,-9.42,-11.52,-9.42,-11.52,11.52,11.50,2.11,2.11,2.11
24.40,-9.40,-11.51,-9.40,-11.51,11.51,11.49,2.10,2.10,2.11
24.65,-9.39,-11.48,-9.39,-11.49,11.49,11.47,2.10,2.10,2.10
24.89,-9.37,-11.47,-9.37,-11.47,11.47,11.46,2.10,2.10,2.10
25.14,-9.35,-11.45,-9.35,-11.45,11.45,11.45,2.10,2.10,2.10
25.39,-9.34,-11.44,-9.34,-11.44,11.44,11.43,2.10,2.10,2.10
25.65,-9.32,-11.42,-9.32,-11.42,11.42,11.42,2.09,2.09,2.10
25.91,-9.31,-11.40,-9.31,-11.40,11.40,11.40,2.09,2.09,2.09
26.16,-9.29,-11.38,-9.29,-11.38,11.38,11.39,2.09,2.09,2.09
26.43,-9.27,-11.36,-9.27,-11.36,11.36,11.37,2.09,2.09,2.09
26.69,-9.26,-11.35,-9.26,-11.35,11.35,11.36,2.09,2.09,2.09
26.96,-9.24,-11.33,-9.24,-11.33,11.33,11.34,2.08,2.08,2.09
27.23,-9.23,-11.30,-9.23,-11.31,11.31,11.32,2.08,2.08,2.08
27.50,-9.21,-11.29,-9.21,-11.29,11.28,11.31,2.08,2.08,2.08
27.77,-9.19,-11.26,-9.19,-11.26,11.26,11.29,2.07,2.07,2.07
28.05,-9.18,-11.24,-9.18,-11.24,11.24,11.27,2.07,2.07,2.07
28.33,-9.16,-11.22,-9.16,-11.22,11.22,11.25,2.06,2.06,2.06
28.62,-9.14,-11.20,-9.14,-11.20,11.20,11.23,2.06,2.06,2.06
28.90,-9.12,-11.18,-9.12,-11.18,11.18,11.21,2.05,2.05,2.06
29.19,-9.10,-11.15,-9.10,-11.16,11.16,11.19,2.05,2.05,2.05
29.48,-9.09,-11.14,-9.09,-11.13,11.13,11.17,2.05,2.05,2.05
29.78,-9.07,-11.11,-9.07,-11.11,11.11,11.15,2.04,2.04,2.04
30.08,-9.05,-11.09,-9.05,-11.09,11.09,11.13,2.04,2.04,2.04
30.38,-9.03,-11.06,-9.03,-11.06,11.06,11.11,2.03,2.03,2.03
30.68,-9.01,-11.04,-9.01,-11.04,11.04,11.09,2.02,2.02,2.03
30.99,-9.00,-11.01,-9.00,-11.01,11.01,11.06,2.02,2.02,2.02
31.30,-8.98,-10.99,-8.98,-10.99,10.99,11.04,2.01,2.01,2.01
31.61,-8.96,-10.97,-8.96,-10.96,10.96,11.02,2.01,2.01,2.01
31.93,-8.94,-10.94,-8.94,-10.94,10.94,10.99,2.00,2.00,2.00
32.24,-8.92,-10.91,-8.92,-10.91,10.91,10.97,1.99,1.99,1.99
32.57,-8.90,-10.89,-8.90,-10.89,10.89,10.94,1.99,1.99,1.99
32.89,-8.88,-10.86,-8.88,-10.86,10.86,10.92,1.98,1.98,1.98
33.22,-8.86,-10.83,-8.86,-10.83,10.83,10.89,1.97,1.97,1.97
33.55,-8.84,-10.81,-8.84,-10.81,10.81,10.86,1.96,1.96,1.97
33.89,-8.82,-10.78,-8.82,-10.78,10.78,10.83,1.96,1.96,1.96
34.23,-8.80,-10.75,-8.80,-10.75,10.75,10.81,1.95,1.95,1.95
34.57,-8.78,-10.72,-8.78,-10.72,10.72,10.78,1.94,1.94,1.94
34.92,-8.76,-10.69,-8.76,-10.69,10.69,10.75,1.93,1.93,1.93
35.27,-8.74,-10.66,-8.74,-10.66,10.66,10.72,1.92,1.92,1.92
35.62,-8.72,-10.63,-8.72,-10.63,10.63,10.69,1.91,1.91,1.91
35.97,-8.70,-10.60,-8.70,-10.60,10.60,10.66,1.90,1.90,1.90
36.33,-8.68,-10.57,-8.68,-10.57,10.57,10.63,1.89,1.89,1.89
36.70,-8.66,-10.54,-8.66,-10.54,10.54,10.60,1.88,1.88,1.88
37.06,-8.64,-10.50,-8.64,-10.50,10.51,10.56,1.87,1.87,1.87
37.43,-8.61,-10.47,-8.61,-10.47,10.47,10.53,1.86,1.86,1.86
37.81,-8.59,-10.44,-8.59,-10.44,10.44,10.50,1.85,1.85,1.85
38.19,-8.57,-10.41,-8.57,-10.41,10.41,10.46,1.84,1.84,1.84
38.57,-8.55,-10.38,-8.55,-10.38,10.37,10.43,1.83,1.83,1.83
38.95,-8.53,-10.34,-8.53,-10.34,10.34,10.40,1.81,1.81,1.82
39.34,-8.50,-10.30,-8.50,-10.31,10.31,10.36,1.80,1.80,1.80
39.74,-8.48,-10.27,-8.48,-10.27,10.27,10.32,1.79,1.79,1.79
40.14,-8.46,-10.24,-8.46,-10.24,10.24,10.29,1.78,1.78,1.78
40.54,-8.44,-10.20,-8.44,-10.20,10.21,10.25,1.77,1.77,1.77
40.94,-8.41,-10.17,-8.41,-10.17,10.17,10.21,1.76,1.76,1.76
41.35,-8.39,-10.14,-8.39,-10.14,10.14,10.18,1.75,1.75,1.75
41.76,-8.37,-10.11,-8.37,-10.11,10.11,10.14,1.74,1.74,1.74
42.18,-8.34,-10.07,-8.34,-10.07,10.07,10.10,1.73,1.73,1.73
42.60,-8.32,-10.04,-8.32,-10.04,10.03,10.06,1.72,1.72,1.72
43.03,-8.30,-10.00,-8.30,-10.00,10.00,10.02,1.70,1.70,1.71
43.46,-8.27,-9.96,-8.27,-9.96,9.96,9.98,1.69,1.69,1.69
43.90,-8.25,-9.92,-8.25,-9.92,9.92,9.94,1.67,1.67,1.67
44.33,-8.22,-9.87,-8.22,-9.87,9.87,9.89,1.65,1.65,1.65
44.78,-8.20,-9.83,-8.20,-9.83,9.83,9.85,1.63,1.63,1.63
45.23,-8.17,-9.78,-8.17,-9.79,9.79,9.81,1.62,1.62,1.61
45.68,-8.15,-9.75,-8.15,-9.74,9.75,9.76,1.60,1.60,1.60
46.13,-8.12,-9.70,-8.12,-9.71,9.71,9.72,1.58,1.58,1.58
46.60,-8.10,-9.67,-8.10,-9.66,9.66,9.68,1.57,1.57,1.57
47.06,-8.07,-9.62,-8.07,-9.62,9.62,9.63,1.55,1.55,1.55
47.53,-8.05,-9.58,-8.05,-9.58,9.58,9.58,1.53,1.53,1.53
48.01,-8.02,-9.54,-8.02,-9.53,9.53,9.54,1.51,1.51,1.52
48.49,-8.00,-9.49,-8.00,-9.49,9.48,9.49,1.48,1.48,1.49
48.97,-7.97,-9.43,-7.97,-9.43,9.43,9.44,1.46,1.46,1.46
49.46,-7.94,-9.37,-7.94,-9.37,9.38,9.39,1.43,1.43,1.43
49.96,-7.92,-9.32,-7.92,-9.32,9.33,9.35,1.41,1.41,1.40
50.46,-7.89,-9.27,-7.89,-9.27,9.27,9.30,1.38,1.38,1.38
50.96,-7.86,-9.22,-7.86,-9.22,9.22,9.25,1.36,1.36,1.36
51.47,-7.84,-9.17,-7.84,-9.17,9.17,9.20,1.33,1.33,1.33
51.99,-7.81,-9.12,-7.81,-9.12,9.12,9.15,1.31,1.31,1.31
52.51,-7.78,-9.07,-7.78,-9.07,9.07,9.09,1.29,1.29,1.29
53.03,-7.76,-9.02,-7.76,-9.02,9.02,9.04,1.26,1.26,1.27
53.56,-7.73,-8.97,-7.73,-8.97,8.97,8.99,1.24,1.24,1.24
54.10,-7.70,-8.92,-7.70,-8.92,8.92,8.94,1.22,1.22,1.22
54.64,-7.67,-8.86,-7.67,-8.86,8.86,8.88,1.19,1.19,1.19
55.18,-7.64,-8.81,-7.64,-8.81,8.81,8.83,1.17,1.17,1.17
55.74,-7.62,-8.76,-7.62,-8.76,8.76,8.77,1.14,1.14,1.14
