frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20.00,2.35,2.39,2.35,2.39,-2.39,-2.45,-0.04,-0.04,-0.04
20.20,2.34,2.39,2.34,2.39,-2.39,-2.45,-0.05,-0.05,-0.05
20.40,2.33,2.40,2.33,2.40,-2.40,-2.45,-0.07,-0.07,-0.07
20.61,2.32,2.40,2.32,2.40,-2.40,-2.46,-0.08,-0.08,-0.08
20.81,2.31,2.41,2.31,2.41,-2.41,-2.46,-0.10,-0.10,-0.10
21.02,2.30,2.41,2.30,2.41,-2.41,-2.46,-0.11,-0.11,-0.11
21.23,2.28,2.42,2.28,2.41,-2.41,-2.46,-0.13,-0.13,-0.13
21.44,2.27,2.42,2.27,2.42,-2.42,-2.46,-0.14,-0.14,-0.14
21.66,2.26,2.42,2.26,2.42,-2.42,-2.46,-0.16,-0.16,-0.16
21.87,2.25,2.42,2.25,2.43,-2.43,-2.46,-0.18,-0.18,-0.17
22.09,2.24,2.43,2.24,2.43,-2.43,-2.45,-0.19,-0.19,-0.19
22.31,2.23,2.43,2.23,2.43,-2.43,-2.45,-0.20,-0.20,-0.20
22.54,2.22,2.43,2.22,2.43,-2.43,-2.45,-0.22,-0.22,-0.21
22.76,2.21,2.44,2.21,2.43,-2.43,-2.44,-0.22,-0.22,-0.23
22.99,2.20,2.44,2.20,2.43,-2.43,-2.44,-0.23,-0.23,-0.24
23.22,2.18,2.43,2.18,2.43,-2.42,-2.43,-0.24,-0.24,-0.24
23.45,2.17,2.41,2.17,2.41,-2.41,-2.43,-0.24,-0.24,-0.24
23.69,2.16,2.40,2.16,2.40,-2.40,-2.42,-0.24,-0.24,-0.24
23.92,2.15,2.39,2.15,2.39,-2.39,-2.41,-0.24,-0.24,-0.24
24.16,2.14,2.38,2.14,2.38,-2.38,-2.40,-0.25,-0.25,-0.24
24.40,2.12,2.38,2.12,2.37,-2.37,-2.39,-0.25,-0.25,-0.25
24.65,2.11,2.36,2.11,2.37,-2.37,-2.39,-0.26,-0.26,-0.25
24.89,2.10,2.36,2.10,2.36,-2.37,-2.38,-0.27,-0.27,-0.26
25.14,2.09,2.36,2.09,2.36,-2.36,-2.37,-0.28,-0.28,-0.27
25.39,2.07,2.36,2.08,2.36,-2.36,-2.36,-0.29,-0.29,-0.28
25.65,2.06,2.36,2.06,2.36,-2.36,-2.34,-0.30,-0.30,-0.30
25.91,2.05,2.36,2.05,2.36,-2.36,-2.33,-0.31,-0.31,-0.31
26.16,2.04,2.36,2.04,2.36,-2.35,-2.32,-0.31,-0.31,-0.32
26.43,2.02,2.34,2.02,2.34,-2.34,-2.31,-0.31,-0.31,-0.32
26.69,2.01,2.32,2.01,2.33,-2.32,-2.29,-0.31,-0.31,-0.31
26.96,2.00,2.31,2.00,2.31,-2.30,-2.28,-0.31,-0.31,-0.31
27.23,1.98,2.29,1.98,2.28,-2.28,-2.27,-0.30,-0.30,-0.30
27.50,1.97,2.25,1.97,2.26,-2.26,-2.25,-0.29,-0.29,-0.28
27.77,1.96,2.23,1.96,2.23,-2.23,-2.24,-0.28,-0.28,-0.27
28.05,1.94,2.21,1.94,2.20,-2.21,-2.22,-0.27,-0.27,-0.26
28.33,1.93,2.18,1.93,2.18,-2.19,-2.21,-0.26,-0.26,-0.25
28.62,1.92,2.17,1.92,2.16,-2.17,-2.19,-0.25,-0.25,-0.25
28.90,1.90,2.14,1.90,2.15,-2.15,-2.18,-0.25,-0.25,-0.24
29.19,1.89,2.13,1.89,2.13,-2.13,-2.16,-0.24,-0.24,-0.24
29.48,1.87,2.11,1.87,2.11,-2.12,-2.14,-0.24,-0.24,-0.24
29.78,1.86,2.10,1.86,2.10,-2.10,-2.13,-0.24,-0.24,-0.24
30.08,1.84,2.09,1.84,2.08,-2.08,-2.11,-0.24,-0.24,-0.24
30.38,1.83,2.06,1.83,2.07,-2.06,-2.09,-0.23,-0.23,-0.23
30.68,1.82,2.05,1.82,2.05,-2.04,-2.07,-0.22,-0.22,-0.23
30.99,1.80,2.02,1.80,2.02,-2.02,-2.06,-0.22,-0.21,-0.22
31.30,1.79,2.00,1.79,1.99,-1.99,-2.04,-0.20,-0.20,-0.21
31.61,1.77,1.96,1.77,1.96,-1.96,-2.02,-0.19,-0.19,-0.19
31.93,1.75,1.93,1.75,1.93,-1.93,-2.00,-0.18,-0.18,-0.17
32.24,1.74,1.90,1.74,1.90,-1.91,-1.98,-0.17,-0.17,-0.16
32.57,1.72,1.88,1.72,1.87,-1.88,-1.96,-0.16,-0.16,-0.15
32.89,1.71,1.85,1.71,1.85,-1.86,-1.94,-0.15,-0.15,-0.14
33.22,1.69,1.83,1.69,1.83,-1.84,-1.93,-0.14,-0.14,-0.14
33.55,1.68,1.82,1.68,1.82,-1.82,-1.91,-0.14,-0.14,-0.14
33.89,1.66,1.80,1.66,1.80,-1.80,-1.89,-0.14,-0.14,-0.14
34.23,1.64,1.79,1.64,1.79,-1.78,-1.87,-0.14,-0.14,-0.14
34.57,1.63,1.77,1.63,1.77,-1.77,-1.85,-0.14,-0.14,-0.14
34.92,1.61,1.75,1.61,1.75,-1.75,-1.83,-0.14,-0.14,-0.14
35.27,1.60,1.74,1.60,1.74,-1.74,-1.81,-0.14,-0.14,-0.14
35.62,1.58,1.72,1.58,1.72,-1.72,-1.79,-0.14,-0.14,-0.14
35.97,1.56,1.70,1.56,1.70,-1.70,-1.77,-0.14,-0.14,-0.14
36.33,1.54,1.69,1.54,1.69,-1.69,-1.75,-0.14,-0.14,-0.14
36.70,1.53,1.67,1.53,1.67,-1.67,-1.73,-0.14,-0.14,-0.14
37.06,1.51,1.65,1.51,1.65,-1.65,-1.72,-0.14,-0.14,-0.14
37.43,1.49,1.64,1.49,1.64,-1.63,-1.70,-0.14,-0.14,-0.14
37.81,1.48,1.62,1.48,1.62,-1.62,-1.68,-0.14,-0.14,-0.14
38.19,1.46,1.60,1.46,1.60,-1.60,-1.66,-0.14,-0.14,-0.14
38.57,1.44,1.58,1.44,1.58,-1.58,-1.64,-0.14,-0.14,-0.14
38.95,1.42,1.56,1.42,1.56,-1.56,-1.62,-0.14,-0.14,-0.14
39.34,1.40,1.55,1.40,1.55,-1.55,-1.60,-0.14,-0.14,-0.14
39.74,1.39,1.53,1.39,1.53,-1.53,-1.59,-0.14,-0.14,-0.14
40.14,1.37,1.51,1.37,1.51,-1.51,-1.57,-0.14,-0.14,-0.14
40.54,1.35,1.49,1.35,1.49,-1.49,-1.55,-0.14,-0.14,-0.14
40.94,1.33,1.47,1.33,1.47,-1.47,-1.53,-0.14,-0.14,-0.14
41.35,1.31,1.45,1.31,1.45,-1.45,-1.51,-0.14,-0.14,-0.14
41.76,1.29,1.43,1.29,1.43,-1.43,-1.50,-0.14,-0.14,-0.14
42.18,1.27,1.42,1.27,1.41,-1.41,-1.48,-0.14,-0.14,-0.14
42.60,1.25,1.40,1.25,1.39,-1.40,-1.46,-0.14,-0.14,-0.14
43.03,1.24,1.38,1.24,1.38,-1.39,-1.44,-0.15,-0.15,-0.14
43.46,1.22,1.37,1.22,1.37,-1.38,-1.43,-0.16,-0.16,-0.15
43.90,1.20,1.37,1.20,1.36,-1.37,-1.41,-0.17,-0.17,-0.17
44.33,1.18,1.36,1.18,1.36,-1.36,-1.39,-0.19,-0.19,-0.18
44.78,1.16,1.36,1.16,1.36,-1.36,-1.38,-0.20,-0.20,-0.20
45.23,1.14,1.36,1.14,1.35,-1.35,-1.36,-0.21,-0.21,-0.22
45.68,1.12,1.35,1.12,1.35,-1.34,-1.35,-0.22,-0.22,-0.23
46.13,1.10,1.34,1.10,1.33,-1.33,-1.33,-0.23,-0.23,-0.24
46.60,1.07,1.32,1.07,1.32,-1.31,-1.32,-0.24,-0.24,-0.24
47.06,1.05,1.30,1.05,1.30,-1.29,-1.30,-0.24,-0.24,-0.24
47.53,1.03,1.27,1.03,1.27,-1.28,-1.29,-0.24,-0.24,-0.24
48.01,1.01,1.25,1.01,1.25,-1.26,-1.27,-0.24,-0.24,-0.24
48.49,0.99,1.23,0.99,1.23,-1.24,-1.26,-0.25,-0.25,-0.24
48.97,0.97,1.21,0.97,1.21,-1.22,-1.24,-0.25,-0.25,-0.24
49.46,0.95,1.20,0.95,1.20,-1.20,-1.23,-0.26,-0.26,-0.25
49.96,0.93,1.19,0.93,1.19,-1.19,-1.22,-0.26,-0.26,-0.26
50.46,0.90,1.18,0.90,1.18,-1.18,-1.20,-0.28,-0.28,-0.27
50.96,0.88,1.17,0.88,1.17,-1.17,-1.19,-0.29,-0.29,-0.29
51.47,0.86,1.16,0.86,1.16,-1.16,-1.18,-0.30,-0.30,-0.30
51.99,0.84,1.15,0.84,1.15,-1.15,-1.16,-0.31,-0.31,-0.31
52.51,0.82,1.15,0.82,1.14,-1.14,-1.15,-0.32,-0.32,-0.33
53.03,0.79,1.13,0.79,1.13,-1.13,-1.14,-0.33,-0.33,-0.34
53.56,0.77,1.11,0.77,1.11,-1.11,-1.13,-0.34,-0.34,-0.34
54.10,0.75,1.09,0.75,1.09,-1.09,-1.12,-0.34,-0.34,-0.34
54.64,0.72,1.07,0.72,1.07,-1.07,-1.10,-0.34,-0.34,-0.34
55.18,0.70,1.04,0.70,1.04,-1.04,-1.09,-0.34,-0.34,-0.34
55.74,0.68,1.02,0.68,1.02,-1.02,-1.08,-0.34,-0.34,-0.34
56.29,0.65,1.00,0.65,0.99,-1.00,-1.07,-0.35,-0.35,-0.34
56.86,0.63,0.97,0.63,0.98,-0.98,-1.06,-0.35,-0.35,-0.34
57.42,0.61,0.96,0.61,0.96,-0.96,-1.05,-0.36,-0.36,-0.35
58.00,0.58,0.95,0.58,0.95,-0.95,-1.04,-0.37,-0.37,-0.37
58.58,0.56,0.94,0.56,0.94,-0.94,-1.03,-0.38,-0.38,-0.38
59.16,0.53,0.93,0.53,0.93,-0.93,-1.03,-0.39,-0.39,-0.39
59.76,0.51,0.92,0.51,0.92,-0.92,-1.02,-0.41,-0.41,-0.41
60.35,0.49,0.92,0.49,0.91,-0.91,-1.01,-0.43,-0.43,-0.43
60.96,0.46,0.90,0.46,0.91,-0.91,-1.00,-0.45,-0.45,-0.44
61.57,0.44,0.91,0.44,0.91,-0.91,-0.99,-0.47,-0.47,-0.47
62.18,0.41,0.91,0.41,0.91,-0.91,-0.99,-0.50,-0.50,-0.50
62.80,0.39,0.91,0.39,0.91,-0.91,-0.98,-0.52,-0.52,-0.52
63.43,0.36,0.91,0.36,0.91,-0.91,-0.97,-0.55,-0.55,-0.55
64.07,0.33,0.92,0.33,0.91,-0.92,-0.96,-0.58,-0.58,-0.58
64.71,0.31,0.92,0.31,0.92,-0.92,-0.96,-0.61,-0.61,-0.61
65.35,0.28,0.92,0.28,0.92,-0.92,-0.95,-0.64,-0.64,-0.64
66.01,0.26,0.93,0.26,0.93,-0.92,-0.95,-0.67,-0.67,-0.67
66.67,0.23,0.93,0.23,0.93,-0.93,-0.94,-0.70,-0.70,-0.70
67.33,0.20,0.93,0.20,0.93,-0.93,-0.94,-0.72,-0.72,-0.72
68.01,0.18,0.93,0.18,0.93,-0.93,-0.93,-0.75,-0.75,-0.75
68.69,0.15,0.93,0.15,0.93,-0.93,-0.93,-0.78,-0.78,-0.78
69.37,0.12,0.94,0.12,0.93,-0.94,-0.92,-0.81,-0.81,-0.81
70.07,0.10,0.93,0.10,0.94,-0.94,-0.92,-0.84,-0.84,-0.83
70.77,0.07,0.94,0.07,0.94,-0.94,-0.92,-0.87,-0.87,-0.87
71.48,0.04,0.94,0.04,0.94,-0.94,-0.91,-0.90,-0.90,-0.90
72.19,0.02,0.95,0.02,0.94,-0.94,-0.91,-0.92,-0.92,-0.93
72.91,-0.01,0.94,-0.01,0.94,-0.94,-0.91,-0.95,-0.95,-0.95
73.64,-0.04,0.94,-0.04,0.94,-0.94,-0.90,-0.98,-0.98,-0.98
74.38,-0.07,0.94,-0.07,0.94,-0.95,-0.90,-1.01,-1.01,-1.01
75.12,-0.09,0.95,-0.09,0.95,-0.95,-0.90,-1.05,-1.05,-1.04
75.87,-0.12,0.95,-0.12,0.95,-0.96,-0.90,-1.09,-1.09,-1.07
76.63,-0.15,0.97,-0.15,0.97,-0.97,-0.90,-1.13,-1.13,-1.12
77.40,-0.18,0.98,-0.18,0.98,-0.99,-0.90,-1.17,-1.17,-1.16
78.17,-0.21,1.00,-0.21,1.00,-1.00,-0.90,-1.21,-1.21,-1.21
78.95,-0.24,1.02,-0.24,1.02,-1.01,-0.90,-1.25,-1.25,-1.25
79.74,-0.27,1.03,-0.27,1.03,-1.02,-0.90,-1.29,-1.29,-1.29
80.54,-0.29,1.04,-0.29,1.04,-1.02,-0.90,-1.32,-1.32,-1.33
81.35,-0.32,1.04,-0.32,1.03,-1.02,-0.90,-1.35,-1.35,-1.36
82.16,-0.35,1.02,-0.35,1.02,-1.02,-0.90,-1.37,-1.37,-1.37
82.98,-0.38,1.00,-0.38,1.01,-1.00,-0.90,-1.39,-1.39,-1.38
83.81,-0.41,0.99,-0.41,0.99,-0.99,-0.90,-1.40,-1.40,-1.40
84.65,-0.44,0.97,-0.44,0.97,-0.98,-0.90,-1.42,-1.42,-1.41
85.50,-0.47,0.95,-0.47,0.96,-0.96,-0.90,-1.43,-1.43,-1.42
86.35,-0.50,0.94,-0.50,0.94,-0.95,-0.91,-1.45,-1.45,-1.44
87.22,-0.53,0.94,-0.53,0.94,-0.94,-0.91,-1.47,-1.47,-1.47
88.09,-0.56,0.93,-0.56,0.93,-0.93,-0.91,-1.49,-1.49,-1.49
88.97,-0.59,0.93,-0.59,0.93,-0.93,-0.91,-1.52,-1.52,-1.52
89.86,-0.62,0.93,-0.62,0.93,-0.93,-0.92,-1.55,-1.55,-1.55
90.76,-0.65,0.93,-0.65,0.93,-0.93,-0.92,-1.58,-1.58,-1.58
91.66,-0.68,0.93,-0.68,0.93,-0.93,-0.92,-1.61,-1.61,-1.61
92.58,-0.71,0.93,-0.71,0.93,-0.94,-0.93,-1.65,-1.65,-1.64
93.51,-0.74,0.94,-0.74,0.94,-0.94,-0.93,-1.68,-1.68,-1.68
94.44,-0.77,0.95,-0.77,0.95,-0.95,-0.94,-1.72,-1.72,-1.72
95.39,-0.80,0.96,-0.80,0.96,-0.96,-0.94,-1.76,-1.76,-1.76
96.34,-0.83,0.97,-0.83,0.97,-0.97,-0.95,-1.81,-1.81,-1.80
97.30,-0.86,0.99,-0.86,0.99,-0.98,-0.95,-1.85,-1.85,-1.85
98.28,-0.89,1.00,-0.89,1.00,-0.99,-0.96,-1.89,-1.89,-1.89
99.26,-0.92,1.01,-0.92,1.01,-1.00,-0.96,-1.93,-1.93,-1.93
100.25,-0.96,1.02,-0.96,1.01,-1.01,-0.97,-1.96,-1.96,-1.97
101.25,-0.99,1.02,-0.99,1.01,-1.01,-0.98,-2.00,-2.00,-2.00
102.27,-1.02,1.00,-1.02,1.01,-1.01,-0.98,-2.03,-2.03,-2.02
103.29,-1.05,1.00,-1.05,1.01,-1.01,-0.99,-2.06,-2.06,-2.05
104.32,-1.08,1.01,-1.08,1.00,-1.01,-1.00,-2.08,-2.08,-2.08
105.37,-1.10,1.01,-1.11,1.00,-1.00,-1.00,-2.11,-2.11,-2.11
106.42,-1.13,1.00,-1.13,1.00,-1.00,-1.01,-2.14,-2.14,-2.13
107.48,-1.16,1.00,-1.16,1.00,-1.00,-1.02,-2.16,-2.16,-2.16
108.56,-1.20,1.00,-1.20,1.00,-0.99,-1.02,-2.19,-2.19,-2.19
109.64,-1.23,1.00,-1.23,1.00,-0.99,-1.03,-2.22,-2.22,-2.22
